C:\Agilent\ICPMH\1\DATA\Steven.Christopher Batch Data\LA Test1-20 TSP Sites Batch12.b\012SMPL.d
Intensity Vs Time,CPS
Acquired      : 2018-08-01 11:51:32 using Batch LA Test1-20 TSP Sites Batch12.b
Time [Sec],Li7 -> 7,Be9 -> 9,B11 -> 11,Mg24 -> 24,Al27 -> 27,Si29 -> 29,P31 -> 31,S34 -> 34,Ca43 -> 43,Ca44 -> 44,Ti47 -> 47,V51 -> 51,Cr52 -> 52,Mn55 -> 55,Fe56 -> 56,Co59 -> 59,Ni60 -> 60,Cu63 -> 63,Zn64 -> 64,Zn66 -> 66,As75 -> 75,Se78 -> 78,Br79 -> 79,Rb85 -> 85,Sr88 -> 88,Zr90 -> 90,Mo95 -> 95,Ru101 -> 101,Rh103 -> 103,Pd105 -> 105,Cd111 -> 111,Sn118 -> 118,Sb121 -> 121,I127 -> 127,Cs133 -> 133,Ba137 -> 137,Ba138 -> 138,Pt195 -> 195,Hg202 -> 202,Tl205 -> 205,Pb208 -> 208,Bi209 -> 209,Th232 -> 232,U238 -> 238
1.0307,2350.15,0.00,1300.05,0.00,7001.38,6651.25,1000.03,1150.04,100.00,3650.38,0.00,0.00,3550.36,1500.06,2462760.02,10102.95,3400.33,16607.98,68033.86,3800.42,200.00,23616.33,4450.58,13905.69,28073.26,100.00,0.00,0.00,0.00,0.00,50.00,750.02,500.01,6051.11,0.00,2900.26,1850.11,0.00,450.01,0.00,17459.84,100.00,50.00,0.00
2.0516,2600.19,0.00,2000.11,10703.21,161934.10,34082.69,950.03,800.02,250.00,3100.27,0.00,150.00,3300.31,1850.10,25983.82,0.00,0.00,1050.03,1350.05,1000.03,350.00,21463.49,4400.57,100.00,800.02,350.00,0.00,0.00,0.00,0.00,100.00,350.00,0.00,5350.87,0.00,0.00,300.00,100.00,300.00,0.00,900.03,150.00,0.00,0.00
3.0725,2450.17,0.00,1200.04,50.00,600.01,4950.69,800.02,650.01,550.01,3250.30,0.00,0.00,5850.98,1500.06,30927.52,0.00,0.00,900.02,1650.08,400.00,50.00,22314.58,3650.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,300.00,0.00,3400.35,0.00,0.00,0.00,0.00,500.01,0.00,2000.13,150.00,0.00,0.00
4.0950,3250.29,0.00,900.02,50.00,800.02,6101.05,650.01,1000.03,450.01,3050.27,50.00,0.00,4000.46,2350.16,26920.86,0.00,0.00,400.00,1600.07,800.02,150.00,23816.61,3450.35,0.00,50.00,0.00,0.00,0.00,0.00,100.00,0.00,250.00,100.00,7001.49,0.00,0.00,0.00,0.00,100.00,0.00,950.03,200.00,0.00,0.00
5.1159,1400.05,0.00,950.03,100.00,1050.03,6951.36,950.03,1500.06,300.00,3550.36,0.00,0.00,3500.35,1950.11,26770.62,0.00,0.00,250.00,1350.05,800.02,150.00,24617.74,5350.84,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,600.01,0.00,4550.63,0.00,0.00,0.00,0.00,550.01,0.00,600.01,50.00,0.00,0.00
6.1368,2100.12,0.00,1050.03,150.00,1300.05,5500.85,850.02,1050.03,250.00,2750.22,0.00,0.00,3500.35,1600.07,28924.07,0.00,50.00,400.00,1100.04,650.01,0.00,22464.78,2800.23,100.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,350.00,50.00,5550.94,0.00,0.00,0.00,50.00,350.00,0.00,1100.04,100.00,0.00,0.00
7.1578,2450.17,0.00,750.02,200.00,800.02,6901.34,1000.03,900.02,250.00,3550.36,50.00,50.00,3000.26,1550.07,27171.24,50.00,50.00,250.00,1700.08,700.01,0.00,20562.38,3400.34,100.00,0.00,0.00,0.00,0.00,0.00,50.00,150.00,250.00,100.00,4550.63,0.00,0.00,0.00,0.00,250.00,0.00,900.03,150.00,0.00,0.00
8.1797,1900.10,0.00,1250.04,0.00,1050.03,6051.03,1150.04,1150.04,450.01,2300.15,0.00,0.00,3250.30,1350.05,28323.08,0.00,100.00,600.01,600.01,900.02,200.00,22614.98,3900.45,50.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,500.01,0.00,5000.76,0.00,0.00,0.00,0.00,500.01,0.00,950.03,200.00,0.00,0.00
9.2006,2550.18,0.00,1100.03,250.00,950.03,4850.66,850.02,700.01,200.00,2900.24,0.00,100.00,4050.47,2300.15,25618.88,50.00,50.00,600.01,950.03,750.02,150.00,18710.25,3150.29,0.00,50.00,0.00,0.00,0.00,0.00,50.00,50.00,50.00,0.00,5450.90,0.00,0.00,0.00,0.00,450.01,0.00,900.03,100.00,0.00,0.00
10.2216,2400.16,0.00,700.01,100.00,700.01,6151.07,1250.04,850.02,150.00,4100.48,0.00,0.00,4100.48,1600.07,23165.45,0.00,50.00,250.00,1400.06,650.01,100.00,19561.20,2800.23,0.00,0.00,0.00,0.00,0.00,100.00,150.00,250.00,400.00,50.00,4050.50,0.00,0.00,0.00,0.00,800.02,0.00,750.02,50.00,0.00,0.00
11.2425,3000.25,0.00,1050.03,150.00,650.01,5450.84,850.02,950.03,200.00,3150.28,0.00,0.00,3300.31,1400.06,24016.59,0.00,100.00,500.01,800.02,950.03,300.00,22715.11,4000.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,500.01,0.00,5150.81,0.00,0.00,0.00,0.00,200.00,0.00,1400.06,150.00,0.00,0.00
12.2639,2200.13,0.00,800.02,150.00,1300.05,5300.79,800.02,1200.04,200.00,2850.23,0.00,0.00,2400.17,1850.10,25869.26,100.00,0.00,400.00,900.02,850.02,50.00,23866.68,4200.52,0.00,50.00,0.00,0.00,0.00,0.00,0.00,150.00,300.00,0.00,4750.69,0.00,0.00,0.00,0.00,700.02,0.00,1450.07,150.00,0.00,0.00
13.2859,2100.12,0.00,800.02,50.00,750.02,6251.10,550.01,850.02,150.00,2300.15,0.00,50.00,3900.44,1300.05,27121.16,50.00,200.00,600.01,1000.03,450.01,150.00,22965.44,3300.32,100.00,0.00,0.00,0.00,0.00,0.00,50.00,150.00,0.00,0.00,6201.17,0.00,0.00,0.00,0.00,450.01,0.00,750.02,50.00,0.00,0.00
14.3068,2100.12,0.00,600.01,50.00,850.02,4850.66,850.02,700.01,300.00,3300.31,0.00,0.00,2600.19,1950.11,25518.74,100.00,0.00,300.00,1150.04,750.02,50.00,20161.90,4250.53,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,350.00,100.00,4950.75,0.00,0.00,0.00,0.00,350.00,0.00,500.01,0.00,0.00,0.00
15.3277,3150.27,0.00,1150.04,200.00,800.02,5850.96,550.01,1550.07,500.01,3000.26,0.00,0.00,2850.23,1550.07,25418.59,50.00,250.00,350.00,1200.04,750.02,600.01,21563.62,2850.24,0.00,50.00,0.00,0.00,0.00,0.00,0.00,50.00,213468.36,0.00,5150.81,0.00,0.00,0.00,0.00,200.00,0.00,850.02,50.00,0.00,0.00
16.3487,2450.17,0.00,850.02,100.00,550.01,6751.28,1000.03,1300.05,250.00,2700.21,50.00,0.00,3300.31,1700.08,27471.71,100.00,100.00,950.03,1200.04,450.01,200.00,21713.80,4450.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,4300.56,0.00,0.00,100.00,50.00,550.01,0.00,900.03,0.00,0.00,0.00
17.3706,2300.15,0.00,1250.04,50.00,700.01,6201.08,650.01,1550.07,150.00,3300.31,0.00,0.00,3700.39,2050.12,22564.65,0.00,0.00,700.01,650.01,650.01,0.00,21413.43,4250.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,850.02,0.00,5100.79,0.00,0.00,0.00,0.00,450.01,0.00,900.03,50.00,0.00,0.00
18.3916,2650.19,0.00,1050.03,150.00,600.01,6351.14,850.02,950.03,300.00,3050.27,0.00,0.00,3450.34,2300.15,26670.46,200.00,200.00,600.01,950.03,500.01,100.00,22164.38,3600.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,250.00,100.00,4650.66,0.00,0.00,0.00,0.00,450.01,0.00,500.01,50.00,0.00,0.00
19.4130,2600.19,0.00,1250.04,100.00,700.01,6301.12,1450.06,800.02,550.01,3350.32,0.00,50.00,3000.26,1600.07,26720.54,150.00,0.00,850.02,700.01,650.01,50.00,22815.24,4350.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,450.01,50.00,5200.82,0.00,0.00,0.00,0.00,500.01,50.00,550.01,150.00,0.00,0.00
20.4339,2300.15,0.00,650.01,50.00,650.01,5200.76,850.02,1550.07,150.00,2800.22,0.00,50.00,3350.32,1500.06,27071.08,100.00,0.00,600.01,900.02,600.01,100.00,23716.47,3100.28,0.00,50.00,0.00,0.00,0.00,0.00,0.00,300.00,100.00,0.00,5300.85,0.00,0.00,0.00,50.00,400.01,0.00,800.02,100.00,0.00,0.00
21.4559,2050.12,0.00,850.02,50.00,850.02,5500.85,1000.03,850.02,100.00,3550.36,0.00,100.00,3900.44,1500.06,26970.93,100.00,0.00,450.01,950.03,650.01,100.00,19461.09,4600.62,0.00,0.00,0.00,0.00,0.00,0.00,250.00,82152.38,118825.21,188217.03,101411.98,33634.54,893315.16,5072833.71,50.00,300.00,5300.91,3940114.93,116587.72,24970.47,22967.39
22.4768,48815.83,250.00,1215080.69,17472073.83,27717944.37,2322653.57,137884.33,333873.32,267523.66,3951712.98,345478.25,283028.62,167804.25,2504732.28,32369091.35,9252.47,17008.35,2296325.83,1146727.66,623947.72,7251.54,23966.82,18359.88,32481.06,320250.20,157025.89,4000.48,0.00,0.00,0.00,1550.07,24968.83,33483.93,21213.69,3950.48,88539.72,785793.82,0.00,4100.54,550.01,436552.94,20113.07,4350.62,3950.52
23.4977,13254.86,0.00,1095484.30,9979124.44,7758701.74,3038229.56,11954.03,94853.79,94403.24,1502176.60,56942.54,78174.86,43754.88,737157.15,7521362.67,2350.16,7701.71,567480.73,248171.86,169025.10,2400.17,22765.18,8802.27,19611.32,131407.97,79787.83,1000.03,0.00,50.00,0.00,450.01,14256.14,23216.32,16007.79,2350.17,57752.08,500417.49,0.00,2700.23,950.03,239488.29,14306.61,2600.22,1750.10
24.5187,11403.60,100.00,947375.51,9808409.59,8938222.07,4831827.06,8001.81,85807.75,123885.73,1957967.62,32680.50,50523.10,40697.48,409416.07,4625844.24,2400.17,3600.37,333081.45,318767.37,208858.40,1850.10,22715.11,8352.04,21713.88,131760.67,66731.44,1350.05,0.00,0.00,0.00,1050.03,15257.03,21914.54,11554.06,1650.08,53337.09,394416.22,0.00,1400.06,700.02,216503.47,13956.29,1300.06,2500.21
25.5406,11503.66,0.00,446156.80,6827182.97,7986650.18,3396183.28,6651.25,74406.26,136529.03,2080410.79,15256.65,43654.59,24266.89,307241.85,3543433.28,850.02,4400.56,541096.20,481114.95,169681.51,2750.22,21213.17,8302.02,17358.87,99491.46,71601.31,1450.06,0.00,200.00,0.00,600.01,12004.35,13255.32,12054.42,3500.37,47067.83,269561.29,0.00,1850.11,950.03,172809.18,10953.88,1450.07,3550.42
