C:\Agilent\ICPMH\1\DATA\Steven.Christopher Batch Data\LA Test1-20 TSP Sites Batch12.b\001SMPL.d
Intensity Vs Time,CPS
Acquired      : 2018-08-01 11:27:55 using Batch LA Test1-20 TSP Sites Batch12.b
Time [Sec],Li7 -> 7,Be9 -> 9,B11 -> 11,Mg24 -> 24,Al27 -> 27,Si29 -> 29,P31 -> 31,S34 -> 34,Ca43 -> 43,Ca44 -> 44,Ti47 -> 47,V51 -> 51,Cr52 -> 52,Mn55 -> 55,Fe56 -> 56,Co59 -> 59,Ni60 -> 60,Cu63 -> 63,Zn64 -> 64,Zn66 -> 66,As75 -> 75,Se78 -> 78,Br79 -> 79,Rb85 -> 85,Sr88 -> 88,Zr90 -> 90,Mo95 -> 95,Ru101 -> 101,Rh103 -> 103,Pd105 -> 105,Cd111 -> 111,Sn118 -> 118,Sb121 -> 121,I127 -> 127,Cs133 -> 133,Ba137 -> 137,Ba138 -> 138,Pt195 -> 195,Hg202 -> 202,Tl205 -> 205,Pb208 -> 208,Bi209 -> 209,Th232 -> 232,U238 -> 238
1.0317,2150.13,0.00,9852.69,200.00,1200.04,24016.24,3500.35,2250.14,650.01,5500.86,200.00,0.00,9002.32,4450.57,119258.07,50.00,0.00,450.01,1250.05,150.00,450.01,31479.01,7851.81,0.00,0.00,0.00,0.00,0.00,100.00,0.00,100.00,1800.10,0.00,11103.75,0.00,0.00,0.00,0.00,650.01,0.00,450.01,50.00,0.00,0.00
2.0526,3000.25,0.00,7251.46,150.00,600.01,22814.65,3250.30,1900.10,750.02,3950.44,50.00,0.00,8602.12,3500.35,120919.52,50.00,150.00,500.01,1850.10,500.01,450.01,26420.44,5600.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,1750.09,0.00,8602.25,0.00,0.00,0.00,0.00,500.01,0.00,800.02,0.00,0.00,0.00
3.0735,2350.15,0.00,6951.34,150.00,850.02,20111.39,1850.10,1850.10,250.00,5250.79,0.00,0.00,6201.10,3200.29,104111.16,0.00,100.00,1100.04,1150.04,400.00,450.01,29074.75,6101.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,1100.04,50.00,6151.15,0.00,0.00,0.00,0.00,600.01,0.00,800.02,0.00,0.00,0.00
4.0950,2850.22,0.00,6701.25,0.00,1050.03,21312.79,3750.40,1350.05,350.00,4950.70,100.00,0.00,7101.45,2950.25,110299.16,100.00,0.00,500.01,1400.06,650.01,200.00,26821.06,5300.82,150.00,0.00,0.00,0.00,50.00,0.00,0.00,150.00,1350.06,0.00,9152.55,0.00,0.00,0.00,0.00,950.03,0.00,750.02,50.00,0.00,0.00
5.1169,2800.22,0.00,6951.34,200.00,700.01,20812.19,3000.25,2150.13,300.00,4100.48,50.00,0.00,6201.10,2550.19,104966.29,0.00,50.00,50.00,1300.05,1000.03,0.00,25318.77,6801.36,0.00,50.00,0.00,0.00,0.00,50.00,0.00,0.00,1600.08,0.00,8051.97,0.00,0.00,0.00,0.00,750.02,0.00,600.01,0.00,0.00,0.00
6.1379,3250.29,0.00,4800.64,50.00,650.01,18759.91,3250.30,1400.06,400.00,4100.48,50.00,100.00,7901.79,2700.21,102300.42,0.00,0.00,300.00,700.01,500.01,100.00,26470.51,6801.36,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1350.06,0.00,9652.84,0.00,0.00,0.00,100.00,950.03,0.00,450.01,0.00,0.00,0.00
7.1588,3500.34,0.00,6001.00,100.00,800.02,21112.55,3600.37,1450.06,400.00,4900.68,0.00,0.00,6401.18,2750.22,25294936.50,0.00,0.00,650.01,1550.07,550.01,300.00,23416.05,6501.24,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1500.07,0.00,8502.20,0.00,0.00,0.00,0.00,1200.05,0.00,300.00,0.00,0.00,0.00
8.1797,2550.18,0.00,5750.92,200.00,950.03,20511.84,3300.31,1250.04,150.00,5350.82,100.00,100.00,7151.47,3250.30,110021.60,0.00,0.00,200.00,1600.07,400.00,150.00,24066.96,5350.84,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,1100.04,50.00,8001.95,0.00,0.00,0.00,0.00,1050.04,0.00,800.02,0.00,0.00,0.00
9.2017,1900.10,0.00,5100.72,100.00,1000.03,20011.28,2350.16,1650.08,400.00,6101.06,0.00,0.00,6201.10,2700.21,101847.79,200.00,0.00,500.01,1400.06,650.01,500.01,26520.59,6751.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,950.03,50.00,8001.95,0.00,0.00,0.00,0.00,1150.04,0.00,850.02,0.00,0.00,0.00
10.2226,2400.16,0.00,4000.44,150.00,1250.04,18910.07,2300.15,1800.09,250.00,4550.59,0.00,0.00,5850.98,2850.23,98176.74,250.00,0.00,450.01,1950.11,750.02,150.00,25769.45,5951.04,0.00,50.00,50.00,0.00,0.00,0.00,0.00,100.00,850.02,0.00,7451.69,0.00,0.00,0.00,0.00,1050.04,0.00,700.02,0.00,0.00,0.00
