C:\Agilent\ICPMH\1\DATA\Steven.Christopher Batch Data\LA Test1-20 TSP Sites Batch12.b\019SMPL.d
Intensity Vs Time,CPS
Acquired      : 2018-08-01 12:06:21 using Batch LA Test1-20 TSP Sites Batch12.b
Time [Sec],Li7 -> 7,Be9 -> 9,B11 -> 11,Mg24 -> 24,Al27 -> 27,Si29 -> 29,P31 -> 31,S34 -> 34,Ca43 -> 43,Ca44 -> 44,Ti47 -> 47,V51 -> 51,Cr52 -> 52,Mn55 -> 55,Fe56 -> 56,Co59 -> 59,Ni60 -> 60,Cu63 -> 63,Zn64 -> 64,Zn66 -> 66,As75 -> 75,Se78 -> 78,Br79 -> 79,Rb85 -> 85,Sr88 -> 88,Zr90 -> 90,Mo95 -> 95,Ru101 -> 101,Rh103 -> 103,Pd105 -> 105,Cd111 -> 111,Sn118 -> 118,Sb121 -> 121,I127 -> 127,Cs133 -> 133,Ba137 -> 137,Ba138 -> 138,Pt195 -> 195,Hg202 -> 202,Tl205 -> 205,Pb208 -> 208,Bi209 -> 209,Th232 -> 232,U238 -> 238
1.0317,2500.17,0.00,1100.03,3000.25,850.02,5800.95,1200.04,950.03,200.00,3050.27,0.00,100.00,3100.28,1500.06,24617.44,0.00,0.00,2500.18,1600.07,1200.04,100.00,21914.06,6451.22,4450.58,1650.08,0.00,0.00,0.00,0.00,0.00,0.00,150.00,50.00,6651.35,0.00,0.00,0.00,50.00,250.00,0.00,1000.03,0.00,0.00,0.00
2.0526,2900.23,0.00,1200.04,200.00,750.02,5150.75,1050.03,1000.03,350.00,3850.42,0.00,0.00,2750.22,1800.09,24166.80,50.00,0.00,500.01,1150.04,400.00,100.00,21513.55,5951.04,0.00,0.00,0.00,100.00,0.00,0.00,0.00,50.00,350.00,50.00,4300.56,0.00,0.00,0.00,0.00,300.00,0.00,550.01,100.00,0.00,0.00
3.0735,3100.27,0.00,1450.06,200.00,1250.04,8301.94,1350.05,650.01,200.00,2500.18,0.00,0.00,5350.82,1400.06,24617.44,0.00,200.00,400.00,1650.08,600.01,0.00,20211.96,4950.72,0.00,150.00,0.00,0.00,0.00,0.00,0.00,0.00,250.00,0.00,4150.52,0.00,0.00,0.00,0.00,500.01,0.00,600.01,0.00,0.00,0.00
4.0950,2200.13,0.00,900.02,0.00,700.01,4750.64,900.02,1300.05,250.00,3100.27,0.00,50.00,3050.27,1700.08,23465.84,50.00,50.00,1000.03,1500.07,950.03,50.00,21914.06,4500.59,50.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,50.00,3750.43,0.00,0.00,0.00,0.00,200.00,0.00,600.01,0.00,0.00,0.00
5.1169,2400.16,0.00,1300.05,200.00,650.01,5900.98,1050.03,950.03,150.00,2400.16,0.00,150.00,3750.40,1950.11,22614.72,0.00,150.00,200.00,1350.05,500.01,0.00,21713.80,4750.66,50.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00,5250.84,50.00,100.00,0.00,0.00,200.00,0.00,500.01,50.00,0.00,0.00
6.1379,2350.15,0.00,800.02,100.00,800.02,4950.69,600.01,1100.03,200.00,2800.22,0.00,50.00,3400.33,1700.08,21413.19,0.00,100.00,1200.04,1950.11,600.01,200.00,21914.06,5150.78,50.00,0.00,0.00,0.00,0.00,50.00,0.00,50.00,300.00,0.00,5400.89,0.00,0.00,0.00,50.00,400.01,0.00,850.02,100.00,0.00,0.00
7.1588,2100.12,0.00,1200.04,150.00,1100.03,4550.58,750.02,850.02,100.00,2600.19,0.00,0.00,3300.31,1800.09,26420.08,0.00,100.00,550.01,1350.05,950.03,100.00,22765.18,6001.06,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,250.00,100.00,4300.56,0.00,0.00,0.00,0.00,400.01,0.00,850.02,0.00,0.00,0.00
8.1797,2400.16,0.00,350.00,41598.48,9102.33,5850.96,1000.03,1000.03,350.00,6951.38,50.00,0.00,3300.31,1600.07,21563.38,0.00,150.00,550.01,1350.05,500.01,200.00,19611.26,3850.43,0.00,100.00,0.00,0.00,0.00,50.00,0.00,150.00,50.00,0.00,5100.79,0.00,0.00,0.00,0.00,600.01,0.00,700.02,50.00,0.00,0.00
9.2017,2850.22,0.00,950.03,250.00,450.01,5900.98,1250.04,700.01,200.00,3100.27,0.00,50.00,3350.32,1550.07,23015.24,0.00,0.00,350.00,950.03,950.03,100.00,23365.99,4650.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,450.01,0.00,3900.46,0.00,0.00,0.00,50.00,200.00,0.00,500.01,100.00,0.00,0.00
10.2226,2800.22,0.00,1000.03,100.00,500.01,6051.03,1050.03,1250.04,50.00,2850.23,0.00,0.00,3150.29,1650.08,22965.17,0.00,50.00,600.01,600.01,800.02,50.00,20161.90,5050.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,100.00,4300.56,0.00,0.00,0.00,0.00,350.00,0.00,600.01,0.00,0.00,0.00
11.2435,2100.12,0.00,1250.04,150.00,750.02,5550.87,1200.04,1650.08,250.00,3250.30,0.00,150.00,3300.31,1600.07,21463.26,50.00,50.00,550.01,1450.06,500.01,50.00,21163.12,5200.79,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,100.00,50.00,4600.64,0.00,0.00,0.00,0.00,50.00,0.00,350.00,150.00,0.00,0.00
12.2650,2900.23,0.00,800.02,150.00,550.01,5400.82,750.02,900.02,250.00,2250.14,0.00,0.00,2850.23,1450.06,23115.38,0.00,0.00,550.01,900.02,500.01,50.00,21313.30,3950.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,550.01,50.00,4500.62,0.00,0.00,0.00,0.00,300.00,0.00,550.01,0.00,0.00,0.00
13.2869,1750.08,0.00,1000.03,250.00,850.02,5800.95,1200.04,850.02,100.00,2450.17,0.00,0.00,3400.33,1400.06,22264.26,0.00,0.00,250.00,1000.03,300.00,100.00,20462.26,5250.81,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,50.00,300.00,4500.62,0.00,0.00,0.00,0.00,200.00,0.00,900.03,0.00,0.00,0.00
14.3078,2300.15,0.00,1050.03,350.00,1050.03,4700.62,650.01,1200.04,0.00,3100.27,0.00,0.00,2600.19,1650.08,24367.09,0.00,0.00,400.00,1100.04,450.01,50.00,19310.92,4500.59,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,300.00,50.00,3900.46,0.00,0.00,0.00,0.00,300.00,0.00,450.01,50.00,0.00,0.00
15.3288,3300.30,0.00,1650.08,150.00,1350.05,5000.70,1250.04,550.01,300.00,3150.28,50.00,150.00,2600.19,1300.05,22965.17,50.00,100.00,400.00,1100.04,250.00,200.00,22214.45,4650.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,400.00,0.00,4550.63,0.00,0.00,0.00,0.00,250.00,0.00,600.01,50.00,0.00,0.00
