C:\Agilent\ICPMH\1\DATA\Steven.Christopher Batch Data\LA Test1-20 TSP Sites Batch12.b\008SMPL.d
Intensity Vs Time,CPS
Acquired      : 2018-08-01 11:43:05 using Batch LA Test1-20 TSP Sites Batch12.b
Time [Sec],Li7 -> 7,Be9 -> 9,B11 -> 11,Mg24 -> 24,Al27 -> 27,Si29 -> 29,P31 -> 31,S34 -> 34,Ca43 -> 43,Ca44 -> 44,Ti47 -> 47,V51 -> 51,Cr52 -> 52,Mn55 -> 55,Fe56 -> 56,Co59 -> 59,Ni60 -> 60,Cu63 -> 63,Zn64 -> 64,Zn66 -> 66,As75 -> 75,Se78 -> 78,Br79 -> 79,Rb85 -> 85,Sr88 -> 88,Zr90 -> 90,Mo95 -> 95,Ru101 -> 101,Rh103 -> 103,Pd105 -> 105,Cd111 -> 111,Sn118 -> 118,Sb121 -> 121,I127 -> 127,Cs133 -> 133,Ba137 -> 137,Ba138 -> 138,Pt195 -> 195,Hg202 -> 202,Tl205 -> 205,Pb208 -> 208,Bi209 -> 209,Th232 -> 232,U238 -> 238
1.0307,2600.19,0.00,1050.03,100.00,950.03,6701.26,550.01,1100.03,200.00,4500.58,0.00,100.00,4000.46,2150.13,33031.39,100.00,200.00,750.02,1000.03,350.00,250.00,23466.12,4200.52,0.00,100.00,0.00,0.00,0.00,0.00,0.00,150.00,400.00,0.00,4150.52,0.00,0.00,6151.16,50.00,300.00,0.00,1300.05,400.01,0.00,0.00
2.0526,3000.25,0.00,1450.06,0.00,900.02,6651.25,1200.04,700.01,200.00,4100.48,0.00,0.00,3900.44,2250.15,30076.02,0.00,50.00,650.01,1150.04,500.01,50.00,23816.61,4150.51,50.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,450.01,0.00,5050.78,0.00,0.00,0.00,0.00,450.01,0.00,1800.10,100.00,0.00,0.00
3.0735,2600.19,0.00,1550.07,200.00,1450.06,6451.17,1450.06,1250.04,500.01,4700.63,100.00,50.00,16357.68,1550.07,33482.25,50.00,150.00,1250.05,850.02,1000.03,250.00,21663.74,3500.36,0.00,0.00,0.00,0.00,0.00,350.00,100.00,100.00,550.01,50.00,6301.21,0.00,0.00,0.00,0.00,350.00,0.00,1550.08,300.00,0.00,0.00
4.0950,2050.12,0.00,2950.24,100.00,850.02,7601.63,950.03,900.02,350.00,4150.49,0.00,250.00,14706.20,1250.04,29775.50,0.00,0.00,1250.05,1250.05,1400.06,0.00,22414.71,3950.46,0.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00,150.00,0.00,5801.02,0.00,0.00,0.00,0.00,500.01,0.00,1850.11,250.00,0.00,0.00
5.1159,2900.23,0.00,2400.16,200.00,500.01,9052.31,1200.04,1350.05,350.00,4350.54,100.00,50.00,10052.90,1650.08,30025.94,50.00,0.00,1400.06,1450.06,400.00,150.00,22164.38,4650.63,150.00,0.00,50.00,0.00,0.00,0.00,50.00,0.00,550.01,100.00,6351.23,0.00,0.00,0.00,0.00,300.00,0.00,1450.07,450.01,0.00,0.00
6.1379,2900.23,0.00,1900.10,200.00,650.01,6251.10,700.01,850.02,250.00,3700.39,50.00,0.00,6501.21,1750.09,28573.49,0.00,0.00,850.02,1200.04,1000.03,100.00,21513.55,4050.48,0.00,50.00,0.00,0.00,0.00,0.00,100.00,100.00,300.00,0.00,5500.92,0.00,0.00,0.00,0.00,450.01,0.00,2000.13,100.00,0.00,0.00
7.1588,3050.26,0.00,1600.07,0.00,1000.03,6051.03,1250.04,950.03,350.00,3100.27,0.00,0.00,5650.92,1400.06,30777.25,0.00,50.00,900.02,800.02,750.02,100.00,23516.19,3850.43,0.00,0.00,0.00,0.00,0.00,0.00,100.00,50.00,250.00,200.00,6251.19,0.00,0.00,0.00,0.00,250.00,0.00,1500.07,50.00,0.00,0.00
8.1797,2400.16,0.00,1600.07,300.00,800.02,6101.05,650.01,1500.06,350.00,2950.25,0.00,0.00,5850.98,2000.11,29074.32,50.00,100.00,900.02,1400.06,550.01,50.00,22214.45,3250.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,400.00,0.00,5050.78,100.00,0.00,0.00,50.00,600.01,0.00,2300.17,50.00,0.00,0.00
9.2006,2550.18,0.00,1750.08,50.00,700.01,6401.15,1450.06,1050.03,350.00,3600.37,0.00,0.00,5100.75,2250.15,30126.11,0.00,50.00,250.00,1350.05,750.02,50.00,22715.11,4100.49,50.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,450.01,50.00,5350.87,0.00,0.00,0.00,0.00,550.01,0.00,1250.05,650.01,0.00,0.00
10.2216,3150.27,0.00,1200.04,100.00,400.00,5951.00,1050.03,1050.03,100.00,3850.42,0.00,0.00,4000.46,2300.15,29625.25,0.00,100.00,550.01,550.01,750.02,250.00,22765.18,4350.56,200.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,500.01,0.00,4700.67,0.00,0.00,0.00,50.00,750.02,0.00,1500.07,250.00,0.00,0.00
11.2435,3400.32,0.00,1450.06,100.00,750.02,6551.21,1250.04,900.02,100.00,2900.24,0.00,0.00,3500.35,1800.09,30777.25,100.00,50.00,550.01,850.02,800.02,100.00,23065.58,3000.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150.00,0.00,5650.97,0.00,0.00,0.00,0.00,100.00,0.00,1450.07,100.00,0.00,0.00
12.2650,2800.22,0.00,1250.04,100.00,700.01,7651.65,1600.07,1250.04,150.00,3350.32,0.00,0.00,3850.43,1600.07,30677.07,0.00,0.00,550.01,1050.03,1100.04,200.00,23315.92,2750.22,0.00,50.00,0.00,0.00,0.00,0.00,0.00,50.00,350.00,0.00,5050.78,0.00,0.00,0.00,0.00,400.01,0.00,1750.10,150.00,0.00,0.00
