C:\Agilent\ICPMH\1\DATA\Steven.Christopher Batch Data\LA Test1-20 TSP Sites Batch12.b\003SMPL.d
Intensity Vs Time,CPS
Acquired      : 2018-08-01 11:32:31 using Batch LA Test1-20 TSP Sites Batch12.b
Time [Sec],Li7 -> 7,Be9 -> 9,B11 -> 11,Mg24 -> 24,Al27 -> 27,Si29 -> 29,P31 -> 31,S34 -> 34,Ca43 -> 43,Ca44 -> 44,Ti47 -> 47,V51 -> 51,Cr52 -> 52,Mn55 -> 55,Fe56 -> 56,Co59 -> 59,Ni60 -> 60,Cu63 -> 63,Zn64 -> 64,Zn66 -> 66,As75 -> 75,Se78 -> 78,Br79 -> 79,Rb85 -> 85,Sr88 -> 88,Zr90 -> 90,Mo95 -> 95,Ru101 -> 101,Rh103 -> 103,Pd105 -> 105,Cd111 -> 111,Sn118 -> 118,Sb121 -> 121,I127 -> 127,Cs133 -> 133,Ba137 -> 137,Ba138 -> 138,Pt195 -> 195,Hg202 -> 202,Tl205 -> 205,Pb208 -> 208,Bi209 -> 209,Th232 -> 232,U238 -> 238
1.0317,3400.32,0.00,2050.12,200.00,750.02,7751.69,1950.11,2350.16,350.00,4450.57,50.00,50.00,6351.16,2100.13,44356.58,50.00,0.00,1050.03,4100.49,2100.13,450.01,26069.90,5851.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,650.01,400.00,6051.11,0.00,100.00,0.00,0.00,1200.05,0.00,5200.87,450.01,0.00,0.00
2.0526,3400.32,0.00,2450.17,250.00,900.02,8852.21,1800.09,1700.08,200.00,4200.50,0.00,0.00,5650.92,1750.09,40847.98,50.00,0.00,300.00,9602.67,2019018.01,5901.02,24567.67,4950.72,50.00,100.00,0.00,0.00,0.00,0.00,0.00,50.00,550.01,50.00,6701.37,0.00,0.00,0.00,0.00,1400.06,0.00,5751.07,1150.04,0.00,0.00
3.0735,2900.23,0.00,2300.15,0.00,950.03,7801.71,1600.07,1800.09,550.01,4450.57,50.00,0.00,4700.63,2050.12,39144.07,50.00,0.00,500.01,3150.29,3975.00,500.01,22965.44,4400.57,0.00,50.00,0.00,0.00,0.00,0.00,100.00,200.00,500.01,400.00,6801.41,0.00,0.00,0.00,0.00,1500.07,0.00,4700.71,550.01,0.00,0.00
4.0950,3000.25,0.00,2000.11,150.00,700.01,11253.57,1350.05,2050.12,500.01,4400.55,100.00,50.00,5350.82,1400.06,38943.62,0.00,100.00,450.01,3400.34,1850.10,500.01,23115.65,4450.58,150.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,1050.03,300.00,7051.51,0.00,0.00,0.00,100.00,1350.06,0.00,6451.35,600.01,0.00,0.00
5.1169,4000.44,0.00,1650.08,100.00,900.02,8702.13,1250.04,1950.11,200.00,3900.43,50.00,150.00,3600.37,1650.08,41248.94,250.00,0.00,550.01,3300.32,1400.06,550.01,22464.78,6001.06,0.00,0.00,0.00,0.00,0.00,0.00,50.00,100.00,400.00,150.00,7301.62,0.00,0.00,0.00,0.00,1100.04,0.00,5100.84,600.01,0.00,0.00
6.1379,3300.30,0.00,2850.23,100.00,1300.05,10853.32,2100.12,1900.10,400.00,4200.50,0.00,50.00,4100.48,2750.22,42602.19,0.00,200.00,700.01,2700.21,1600.07,700.01,24267.24,5200.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150.00,400.00,500.01,6651.35,0.00,0.00,0.00,0.00,1500.07,0.00,5150.86,600.01,0.00,0.00
7.1588,3950.43,0.00,2500.17,0.00,500.01,8702.13,1900.10,1450.06,450.01,5200.77,0.00,0.00,5200.78,2150.13,40196.47,100.00,150.00,550.01,3250.31,1200.04,350.00,25569.14,4450.58,50.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,650.01,350.00,7401.67,0.00,0.00,0.00,0.00,1500.07,0.00,5100.84,1000.03,0.00,0.00
8.1797,3700.38,0.00,1800.09,100.00,1150.04,9752.68,1900.10,2150.13,750.02,3950.44,0.00,0.00,4750.65,1250.04,39244.29,100.00,150.00,550.01,2500.18,1750.09,400.00,25969.75,5050.75,150.00,50.00,0.00,0.00,0.00,0.00,100.00,150.00,600.01,200.00,5851.04,0.00,0.00,0.00,0.00,1200.05,0.00,5000.81,500.01,0.00,0.00
9.2017,3200.28,0.00,1950.11,100.00,550.01,9502.54,1150.04,1600.07,300.00,5050.73,0.00,50.00,3950.45,1700.08,36287.88,50.00,0.00,600.01,2800.23,850.02,700.01,25569.14,4200.52,100.00,50.00,0.00,0.00,0.00,0.00,0.00,100.00,700.01,200.00,6551.31,0.00,0.00,0.00,0.00,1000.03,0.00,5400.94,550.01,0.00,0.00
10.2226,3400.32,0.00,2000.11,0.00,900.02,8902.23,1500.06,1600.07,350.00,3500.35,0.00,0.00,4750.65,2200.14,38592.84,0.00,100.00,500.01,2800.23,1550.07,400.00,24517.60,4350.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,1200.04,150.00,6551.31,0.00,0.00,0.00,0.00,1100.04,0.00,5450.96,1100.04,0.00,0.00
11.2435,3750.39,0.00,1350.05,100.00,650.01,9102.33,1450.06,2350.16,350.00,4700.63,0.00,0.00,4700.63,1400.06,36237.77,50.00,150.00,500.01,2500.18,1350.05,800.02,27622.34,5901.02,2600.20,150.00,150.00,0.00,0.00,50.00,0.00,150.00,200.00,200.00,5700.99,100.00,150.00,0.00,0.00,1050.04,0.00,5450.96,1950.12,0.00,0.00
12.2650,2800.22,0.00,1050.03,50.00,1150.04,11553.76,1800.09,1500.06,150.00,4500.58,0.00,100.00,5500.87,1650.08,204446.40,0.00,100.00,500.01,2950.25,1400.06,700.01,24918.18,4800.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,350.00,450.01,5901.06,0.00,0.00,0.00,50.00,800.02,0.00,5300.91,600.01,0.00,0.00
13.2859,3400.32,0.00,1450.06,200.00,45157.27,7951.78,1450.06,1500.06,300.00,3800.41,0.00,0.00,4750.65,1400.06,36087.46,0.00,0.00,450.01,2450.17,1000.03,150.00,25268.69,5200.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,600.01,250.00,6851.43,0.00,0.00,0.00,0.00,350.00,0.00,4400.63,600.01,0.00,0.00
14.3078,3300.30,0.00,1350.05,50.00,1150.04,9202.39,1850.10,1150.04,500.01,3750.40,200.00,0.00,3450.34,1750.09,38041.62,0.00,150.00,600.01,2800.23,1500.07,450.01,25168.54,4850.69,50.00,0.00,0.00,0.00,0.00,50.00,0.00,150.00,650.01,200.00,7601.76,0.00,0.00,0.00,0.00,1300.05,0.00,4600.68,900.03,0.00,0.00
15.3288,3000.25,0.00,1300.05,0.00,300.00,10052.85,1850.10,2150.13,350.00,4000.46,0.00,0.00,3550.36,1500.06,34384.01,0.00,50.00,800.02,2100.13,1200.04,250.00,23015.51,5050.75,0.00,150.00,0.00,0.00,0.00,0.00,50.00,450.01,850.02,200.00,6651.35,0.00,0.00,0.00,50.00,550.01,0.00,4600.68,1000.03,0.00,0.00
16.3497,3250.29,0.00,1750.08,50.00,1300.05,8852.21,1500.06,1450.06,450.01,4500.58,0.00,50.00,4100.48,1350.05,38793.28,0.00,100.00,450.01,2400.17,650.01,550.01,25819.52,4800.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,900.02,200.00,7501.71,0.00,0.00,0.00,100.00,1100.04,0.00,3350.36,600.01,0.00,0.00
