C:\Agilent\ICPMH\1\DATA\Steven.Christopher Batch Data\LA Test1-20 TSP Sites Batch12.b\009SMPL.d
Intensity Vs Time,CPS
Acquired      : 2018-08-01 11:45:12 using Batch LA Test1-20 TSP Sites Batch12.b
Time [Sec],Li7 -> 7,Be9 -> 9,B11 -> 11,Mg24 -> 24,Al27 -> 27,Si29 -> 29,P31 -> 31,S34 -> 34,Ca43 -> 43,Ca44 -> 44,Ti47 -> 47,V51 -> 51,Cr52 -> 52,Mn55 -> 55,Fe56 -> 56,Co59 -> 59,Ni60 -> 60,Cu63 -> 63,Zn64 -> 64,Zn66 -> 66,As75 -> 75,Se78 -> 78,Br79 -> 79,Rb85 -> 85,Sr88 -> 88,Zr90 -> 90,Mo95 -> 95,Ru101 -> 101,Rh103 -> 103,Pd105 -> 105,Cd111 -> 111,Sn118 -> 118,Sb121 -> 121,I127 -> 127,Cs133 -> 133,Ba137 -> 137,Ba138 -> 138,Pt195 -> 195,Hg202 -> 202,Tl205 -> 205,Pb208 -> 208,Bi209 -> 209,Th232 -> 232,U238 -> 238
1.0307,2700.20,0.00,1700.08,350.00,800.02,6951.36,700.01,1000.03,150.00,2400.16,0.00,100.00,4050.47,1950.11,29525.08,100.00,50.00,650.01,1400.06,1150.04,100.00,22164.38,3350.33,0.00,50.00,0.00,0.00,0.00,0.00,0.00,9802.89,368713.39,200.00,5050.78,0.00,0.00,0.00,0.00,250.00,0.00,900.03,100.00,0.00,0.00
2.0526,2500.17,0.00,1000.03,100.00,650.01,6401.15,600.01,1500.06,550.01,4100.48,0.00,0.00,3800.42,2100.13,32780.91,0.00,0.00,700.01,1300.05,1250.05,100.00,21763.87,5050.75,0.00,100.00,0.00,0.00,0.00,0.00,0.00,200.00,500.01,50.00,5751.01,0.00,0.00,0.00,0.00,200.00,0.00,1100.04,600.01,0.00,250.00
3.0735,2800.22,0.00,3750.39,150.00,29073.76,10453.08,1450.06,1050.03,500.01,7551.63,115429.60,300.00,5050.73,1900.10,212947.61,0.00,150.00,500.01,1200.04,300.00,250.00,23015.51,3450.35,0.00,0.00,300.00,0.00,0.00,50.00,0.00,50.00,400.00,100.00,4950.75,0.00,0.00,0.00,0.00,100.00,0.00,900.03,300.00,0.00,0.00
4.0950,2300.15,0.00,1050.03,100.00,900.02,6151.07,550.01,1100.03,150.00,2750.22,0.00,0.00,4850.68,1400.06,31328.23,0.00,200.00,650.01,400.00,950.03,150.00,23416.05,3850.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150.00,300.00,100.00,6001.10,0.00,0.00,0.00,0.00,300.00,0.00,1250.05,150.00,0.00,0.00
5.1159,3200.28,0.00,1550.07,50.00,800.02,5800.95,800.02,1350.05,100.00,4200.50,0.00,50.00,4000.46,1000.03,27571.87,0.00,50.00,900.02,1300.05,400.00,100.00,21213.17,5200.79,0.00,50.00,0.00,0.00,0.00,50.00,0.00,100.00,100.00,100.00,5700.99,0.00,0.00,0.00,50.00,300.00,0.00,950.03,200.00,0.00,0.00
6.1379,2800.22,0.00,1650.08,100.00,450.01,8752.16,1300.05,800.02,50.00,3400.33,0.00,0.00,3200.29,2200.14,29675.33,0.00,50.00,350.00,1150.04,1000.03,250.00,23365.99,4200.52,0.00,100.00,0.00,0.00,0.00,0.00,0.00,50.00,250.00,150.00,5550.94,0.00,0.00,0.00,50.00,700.02,0.00,1450.07,300.00,0.00,0.00
7.1588,2600.19,0.00,700.01,300.00,1050.03,5900.98,1700.08,1450.06,350.00,3800.41,0.00,50.00,3200.29,1900.10,32530.44,0.00,0.00,100.00,850.02,1050.03,50.00,21263.24,3650.39,0.00,50.00,0.00,0.00,0.00,0.00,100.00,0.00,400.00,150.00,5751.01,0.00,0.00,0.00,0.00,150.00,0.00,950.03,100.00,0.00,0.00
8.1797,2650.19,0.00,1350.05,100.00,950.03,6301.12,1400.06,500.01,250.00,3000.26,0.00,0.00,4300.53,1300.05,29124.40,0.00,150.00,650.01,1500.07,300.00,250.00,22915.37,4950.72,50.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,650.01,0.00,5400.89,0.00,0.00,0.00,50.00,450.01,0.00,1100.04,150.00,0.00,0.00
9.2006,2500.17,0.00,950.03,0.00,750.02,6301.12,1000.03,1000.03,200.00,3200.29,0.00,50.00,2950.25,950.03,29725.42,0.00,0.00,600.01,950.03,1000.03,100.00,22665.04,4200.52,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,150.00,5550.94,0.00,0.00,0.00,0.00,400.01,0.00,1150.04,150.00,0.00,0.00
10.2216,3700.38,0.00,1500.06,50.00,1050.03,5450.84,1300.05,1000.03,200.00,4000.46,50.00,0.00,2800.23,1450.06,27672.03,0.00,50.00,200.00,1400.06,900.02,100.00,24417.46,4050.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150.00,150.00,50.00,6101.13,0.00,0.00,100.00,0.00,250.00,0.00,1100.04,100.00,0.00,0.00
