C:\Agilent\ICPMH\1\DATA\Steven.Christopher Batch Data\LA Test1-20 TSP Sites Batch12.b\015SMPL.d
Intensity Vs Time,CPS
Acquired      : 2018-08-01 11:57:52 using Batch LA Test1-20 TSP Sites Batch12.b
Time [Sec],Li7 -> 7,Be9 -> 9,B11 -> 11,Mg24 -> 24,Al27 -> 27,Si29 -> 29,P31 -> 31,S34 -> 34,Ca43 -> 43,Ca44 -> 44,Ti47 -> 47,V51 -> 51,Cr52 -> 52,Mn55 -> 55,Fe56 -> 56,Co59 -> 59,Ni60 -> 60,Cu63 -> 63,Zn64 -> 64,Zn66 -> 66,As75 -> 75,Se78 -> 78,Br79 -> 79,Rb85 -> 85,Sr88 -> 88,Zr90 -> 90,Mo95 -> 95,Ru101 -> 101,Rh103 -> 103,Pd105 -> 105,Cd111 -> 111,Sn118 -> 118,Sb121 -> 121,I127 -> 127,Cs133 -> 133,Ba137 -> 137,Ba138 -> 138,Pt195 -> 195,Hg202 -> 202,Tl205 -> 205,Pb208 -> 208,Bi209 -> 209,Th232 -> 232,U238 -> 238
1.0317,3250.29,0.00,750.02,50.00,700.01,6051.03,850.02,1050.03,200.00,3000.26,0.00,0.00,3450.34,1850.10,25168.23,0.00,150.00,450.01,1400.06,550.01,450.01,20962.87,4800.68,0.00,50.00,0.00,0.00,0.00,0.00,100.00,0.00,350.00,0.00,4550.63,0.00,0.00,0.00,0.00,550.01,0.00,700.02,150.00,0.00,0.00
2.0526,2150.13,0.00,1200.04,100.00,400.00,5400.82,700.01,1150.04,300.00,3500.35,0.00,100.00,2600.19,1800.09,25819.18,0.00,0.00,250.00,1600.07,950.03,150.00,20612.44,4700.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,350.00,0.00,5200.82,0.00,0.00,0.00,0.00,250.00,0.00,1100.04,0.00,0.00,0.00
3.0735,2600.19,0.00,1100.03,100.00,850.02,4900.68,850.02,850.02,300.00,2650.20,0.00,0.00,2700.21,2050.12,24367.09,0.00,0.00,500.01,800.02,1050.03,100.00,21213.17,4050.48,150.00,50.00,0.00,0.00,0.00,50.00,0.00,100.00,350.00,0.00,4600.64,0.00,0.00,0.00,100.00,400.01,0.00,950.03,100.00,0.00,0.00
4.0950,2400.16,0.00,800.02,100.00,450.01,6201.08,1150.04,1100.03,250.00,3700.39,0.00,50.00,2900.24,1800.09,25568.81,50.00,0.00,650.01,900.02,1200.04,50.00,21163.12,5050.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,550.01,50.00,5350.87,0.00,0.00,0.00,0.00,300.00,0.00,650.01,150.00,0.00,0.00
5.1169,1950.11,0.00,1400.05,150.00,400.00,5300.79,850.02,800.02,250.00,2600.19,0.00,100.00,2700.21,900.02,23515.91,50.00,0.00,300.00,1000.03,500.01,50.00,21213.17,4100.49,0.00,0.00,0.00,0.00,0.00,50.00,0.00,50.00,200.00,150.00,4200.54,0.00,0.00,0.00,0.00,400.01,0.00,1200.05,50.00,0.00,0.00
6.1379,2450.17,0.00,900.02,100.00,650.01,6251.10,1350.05,450.01,50.00,3600.37,0.00,100.00,2900.24,1550.07,25919.33,150.00,50.00,700.01,400.00,700.01,100.00,23416.05,5100.76,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,400.00,0.00,5450.90,0.00,0.00,0.00,0.00,600.01,0.00,1050.04,100.00,0.00,0.00
7.1588,2300.15,0.00,900.02,100.00,450.01,5650.90,850.02,900.02,250.00,4250.52,50.00,0.00,2700.21,1300.05,23616.05,0.00,50.00,550.01,1100.04,750.02,50.00,20362.14,4650.63,28924.63,50.00,0.00,0.00,0.00,0.00,100.00,0.00,250.00,0.00,4750.69,0.00,0.00,0.00,0.00,500.01,0.00,1000.03,150.00,0.00,0.00
8.1797,2750.21,0.00,900.02,100.00,850.02,5750.93,1050.03,500.01,400.00,2850.23,0.00,0.00,2650.20,2000.11,24116.74,0.00,50.00,250.00,1100.04,1150.04,100.00,21964.13,3050.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,4850.72,0.00,0.00,0.00,0.00,600.01,0.00,800.02,0.00,0.00,0.00
9.2017,3250.29,0.00,1250.04,100.00,750.02,5300.79,1050.03,1200.04,200.00,3300.31,0.00,50.00,2950.25,750.02,23966.53,150.00,100.00,350.00,1150.04,700.01,100.00,21463.49,4050.48,0.00,0.00,0.00,0.00,0.00,50.00,0.00,50.00,200.00,0.00,5300.85,0.00,0.00,0.00,0.00,150.00,0.00,350.00,100.00,0.00,0.00
10.2226,2700.20,0.00,900.02,0.00,700.01,5900.98,1000.03,450.01,50.00,2250.14,50.00,50.00,3500.35,1800.09,22013.95,0.00,50.00,1000.03,1000.03,600.01,50.00,26170.05,3400.34,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,300.00,0.00,4300.56,0.00,0.00,0.00,0.00,600.01,0.00,600.01,50.00,0.00,0.00
11.2435,2400.16,0.00,700.01,50.00,1100.03,5500.85,1050.03,1000.03,300.00,3250.30,0.00,0.00,3450.34,1900.10,23365.71,0.00,0.00,350.00,1150.04,1100.04,100.00,22264.51,5100.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150.00,350.00,0.00,3400.35,0.00,0.00,0.00,0.00,200.00,0.00,400.01,150.00,0.00,0.00
12.2650,2550.18,0.00,950.03,400.00,600.01,5951.00,1000.03,850.02,500.01,3100.27,0.00,50.00,2900.24,1600.07,23866.39,50.00,50.00,1200.04,1000.03,750.02,0.00,23466.12,4200.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150.00,100.00,5300.85,0.00,0.00,0.00,0.00,250.00,0.00,950.03,0.00,0.00,0.00
13.2869,3150.27,0.00,600.01,0.00,1200.04,6151.07,800.02,600.01,500.01,2600.19,0.00,100.00,3200.29,1700.08,23415.78,0.00,0.00,300.00,1250.05,800.02,200.00,21914.06,5000.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,250.00,0.00,5250.84,0.00,0.00,0.00,0.00,200.00,0.00,950.03,150.00,0.00,0.00
14.3078,2450.17,0.00,950.03,150.00,500.01,5550.87,950.03,1300.05,300.00,3550.36,100.00,0.00,3000.26,1400.06,25118.15,0.00,50.00,500.01,1050.03,300.00,400.00,22314.58,4250.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,300.00,0.00,4250.55,0.00,0.00,0.00,0.00,300.00,0.00,550.01,50.00,0.00,0.00
15.3288,2400.16,0.00,1350.05,0.00,1000.03,4300.52,800.02,1100.03,500.01,2750.22,50.00,0.00,2950.25,1250.04,23365.71,0.00,0.00,350.00,750.02,700.01,200.00,22564.91,3650.39,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,250.00,0.00,5150.81,0.00,0.00,0.00,0.00,150.00,0.00,500.01,150.00,0.00,0.00
16.3497,2850.22,0.00,700.01,300.00,900.02,6851.32,950.03,950.03,150.00,3550.36,0.00,50.00,2300.15,1500.06,24417.16,0.00,0.00,400.00,550.01,550.01,200.00,21663.74,4800.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,250.00,0.00,5450.90,0.00,0.00,0.00,0.00,150.00,0.00,750.02,200.00,0.00,0.00
17.3706,2900.23,0.00,900.02,0.00,950.03,5750.93,1150.04,800.02,200.00,3700.39,0.00,50.00,2900.24,1350.05,25268.37,100.00,0.00,750.02,350.00,550.01,200.00,19911.61,4450.58,50.00,0.00,0.00,0.00,0.00,0.00,50.00,100.00,150.00,0.00,4250.55,0.00,0.00,0.00,0.00,400.01,0.00,700.02,50.00,0.00,0.00
18.3926,2450.17,0.00,800.02,0.00,550.01,6201.08,650.01,1200.04,100.00,2600.19,0.00,0.00,3300.31,2200.14,22064.01,50.00,50.00,250.00,1000.03,400.00,150.00,22264.51,4600.62,0.00,0.00,0.00,0.00,0.00,0.00,50.00,100.00,0.00,0.00,4550.63,0.00,0.00,0.00,0.00,350.00,0.00,850.02,50.00,0.00,0.00
19.4135,2600.19,0.00,700.01,0.00,1000.03,5200.76,1450.06,600.01,200.00,2450.17,0.00,100.00,3550.36,1950.11,25168.23,50.00,50.00,500.01,650.01,350.00,100.00,19911.61,4600.62,50.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,400.00,150.00,5250.84,0.00,0.00,0.00,0.00,300.00,0.00,850.02,0.00,0.00,0.00
20.4349,2100.12,0.00,1250.04,100.00,850.02,6451.17,750.02,700.01,300.00,3550.36,0.00,200.00,3400.33,1300.05,21313.07,0.00,0.00,650.01,900.02,650.01,150.00,23115.65,4700.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150.00,600.01,0.00,3800.44,0.00,0.00,0.00,0.00,300.00,0.00,650.01,0.00,0.00,0.00
