C:\Agilent\ICPMH\1\DATA\Steven.Christopher Batch Data\LA Test1-20 TSP Sites Batch12.b\018SMPL.d
Intensity Vs Time,CPS
Acquired      : 2018-08-01 12:04:11 using Batch LA Test1-20 TSP Sites Batch12.b
Time [Sec],Li7 -> 7,Be9 -> 9,B11 -> 11,Mg24 -> 24,Al27 -> 27,Si29 -> 29,P31 -> 31,S34 -> 34,Ca43 -> 43,Ca44 -> 44,Ti47 -> 47,V51 -> 51,Cr52 -> 52,Mn55 -> 55,Fe56 -> 56,Co59 -> 59,Ni60 -> 60,Cu63 -> 63,Zn64 -> 64,Zn66 -> 66,As75 -> 75,Se78 -> 78,Br79 -> 79,Rb85 -> 85,Sr88 -> 88,Zr90 -> 90,Mo95 -> 95,Ru101 -> 101,Rh103 -> 103,Pd105 -> 105,Cd111 -> 111,Sn118 -> 118,Sb121 -> 121,I127 -> 127,Cs133 -> 133,Ba137 -> 137,Ba138 -> 138,Pt195 -> 195,Hg202 -> 202,Tl205 -> 205,Pb208 -> 208,Bi209 -> 209,Th232 -> 232,U238 -> 238
1.0307,2750.21,0.00,1150.04,0.00,800.02,4600.60,900.02,1150.04,550.01,47664.70,15556.92,102550.69,15606.99,39795.51,11005940.87,4050.47,3100.28,8852.27,18760.19,7751.74,150.00,18109.61,4700.65,5650.94,7151.51,3300.32,0.00,0.00,0.00,100.00,0.00,3400.35,700.01,6251.19,50.00,0.00,8552.24,0.00,350.00,0.00,288513.78,50.00,150.00,0.00
2.0526,2350.15,0.00,13705.21,12104.11,38792.27,5450.84,1400.06,1200.04,400.00,3000.26,100.00,0.00,3800.42,1650.08,42689.23,0.00,50.00,700.01,1650.08,950.03,150.00,21513.55,5000.73,0.00,50.00,150.00,0.00,0.00,0.00,0.00,50.00,350.00,100.00,4400.59,0.00,0.00,2800.24,0.00,200.00,0.00,650.01,300.00,0.00,0.00
3.0735,3200.28,0.00,850.02,100.00,550.01,5000.70,1200.04,500.01,500.01,4000.46,0.00,100.00,2950.25,1200.04,23966.53,100.00,0.00,600.01,1350.05,1850.10,200.00,21313.30,5150.78,0.00,0.00,50.00,0.00,0.00,0.00,0.00,50.00,300.00,150.00,5200.82,0.00,0.00,0.00,0.00,300.00,0.00,300.00,0.00,0.00,0.00
4.0950,2200.13,0.00,1200.04,150.00,450.01,5550.87,700.01,1200.04,150.00,2800.22,0.00,0.00,3150.29,1200.04,25018.01,0.00,100.00,550.01,1550.07,850.02,0.00,22214.45,4200.52,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,100.00,0.00,4100.51,0.00,0.00,0.00,0.00,450.01,0.00,900.03,50.00,0.00,0.00
5.1159,2300.15,0.00,1200.04,50.00,1150.04,5850.96,1750.09,1250.04,450.01,2900.24,150.00,0.00,3200.29,1300.05,23716.18,100.00,0.00,400.00,1350.05,500.01,50.00,22164.38,5150.78,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,50.00,4950.75,0.00,0.00,0.00,0.00,300.00,0.00,650.01,0.00,0.00,0.00
6.1379,2250.14,0.00,550.01,100.00,900.02,6251.10,850.02,1250.04,100.00,3150.28,0.00,150.00,2750.22,1850.10,22664.78,50.00,0.00,550.01,1300.05,950.03,0.00,21613.68,5350.84,0.00,0.00,0.00,0.00,0.00,100.00,0.00,50.00,550.01,150.00,5450.90,0.00,0.00,0.00,0.00,500.01,0.00,550.01,50.00,0.00,0.00
7.1588,2250.14,0.00,850.02,150.00,1150.04,6351.14,1150.04,1350.05,300.00,3850.42,0.00,0.00,3200.29,1500.06,24016.59,50.00,0.00,500.01,750.02,600.01,150.00,20462.26,4400.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,100.00,4750.69,0.00,0.00,0.00,0.00,50.00,0.00,600.01,150.00,0.00,0.00
8.1797,1750.08,0.00,950.03,150.00,1150.04,5350.81,900.02,1100.03,400.00,2950.25,0.00,50.00,2300.15,1550.07,22915.11,0.00,0.00,600.01,1650.08,900.02,0.00,20512.32,4450.58,50.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,250.00,100.00,4850.72,0.00,0.00,0.00,200.00,450.01,0.00,550.01,50.00,0.00,0.00
9.2006,2250.14,0.00,1050.03,50.00,700.01,5650.90,1200.04,700.01,300.00,2300.15,0.00,200.00,2750.22,1400.06,22764.91,0.00,100.00,700.01,1700.08,600.01,50.00,22765.18,5000.73,100.00,0.00,0.00,0.00,0.00,0.00,0.00,300.00,0.00,150.00,3800.44,0.00,0.00,0.00,0.00,650.01,0.00,550.01,50.00,0.00,0.00
10.2226,2650.19,0.00,950.03,200.00,600.01,4750.64,700.01,1100.03,300.00,3800.41,0.00,0.00,4000.46,1700.08,25118.15,0.00,0.00,750.02,600.01,300.00,50.00,23766.54,4650.63,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,350.00,50.00,4550.63,0.00,0.00,0.00,0.00,550.01,0.00,900.03,150.00,0.00,0.00
11.2435,2500.17,0.00,750.02,50.00,1400.06,4950.69,700.01,1000.03,150.00,2750.22,0.00,0.00,3200.29,1100.03,19611.07,0.00,0.00,650.01,450.01,450.01,100.00,20912.81,5450.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,550.01,150.00,5300.85,0.00,0.00,0.00,0.00,250.00,0.00,500.01,0.00,0.00,0.00
