C:\Agilent\ICPMH\1\DATA\Steven.Christopher Batch Data\LA Test1-20 TSP Sites Batch12.b\017SMPL.d
Intensity Vs Time,CPS
Acquired      : 2018-08-01 12:02:05 using Batch LA Test1-20 TSP Sites Batch12.b
Time [Sec],Li7 -> 7,Be9 -> 9,B11 -> 11,Mg24 -> 24,Al27 -> 27,Si29 -> 29,P31 -> 31,S34 -> 34,Ca43 -> 43,Ca44 -> 44,Ti47 -> 47,V51 -> 51,Cr52 -> 52,Mn55 -> 55,Fe56 -> 56,Co59 -> 59,Ni60 -> 60,Cu63 -> 63,Zn64 -> 64,Zn66 -> 66,As75 -> 75,Se78 -> 78,Br79 -> 79,Rb85 -> 85,Sr88 -> 88,Zr90 -> 90,Mo95 -> 95,Ru101 -> 101,Rh103 -> 103,Pd105 -> 105,Cd111 -> 111,Sn118 -> 118,Sb121 -> 121,I127 -> 127,Cs133 -> 133,Ba137 -> 137,Ba138 -> 138,Pt195 -> 195,Hg202 -> 202,Tl205 -> 205,Pb208 -> 208,Bi209 -> 209,Th232 -> 232,U238 -> 238
1.0307,2450.17,0.00,950.03,50.00,850.02,4400.55,1250.04,1300.05,300.00,4200.50,0.00,0.00,2450.17,1800.09,22013.95,0.00,0.00,400.00,1200.04,1000.03,0.00,20812.69,5300.82,0.00,150.00,0.00,0.00,0.00,0.00,0.00,200.00,500.01,200.00,4050.50,0.00,0.00,0.00,0.00,900.03,0.00,650.01,100.00,0.00,0.00
2.0526,2100.12,0.00,1750.08,50.00,800.02,3800.41,1200.04,1100.03,450.01,3150.28,0.00,50.00,3550.36,1450.06,24717.58,100.00,100.00,500.01,850.02,600.01,50.00,22765.18,4450.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,550.01,50.00,4550.63,0.00,0.00,0.00,50.00,400.01,0.00,850.02,50.00,0.00,0.00
3.0735,2800.22,0.00,1100.03,100.00,700.01,5650.90,1550.07,1000.03,350.00,4950.70,50.00,0.00,4050.47,1850.10,23515.91,0.00,0.00,400.00,1550.07,400.00,250.00,23416.05,4400.57,50.00,0.00,0.00,0.00,0.00,50.00,0.00,100.00,350.00,50.00,6101.13,0.00,0.00,0.00,0.00,450.01,0.00,1000.03,150.00,0.00,0.00
4.0950,2450.17,0.00,850.02,100.00,800.02,6001.01,700.01,1050.03,200.00,3250.30,0.00,0.00,3000.26,1300.05,22214.20,50.00,0.00,150.00,1850.10,600.01,50.00,20312.08,5250.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,350.00,100.00,5300.85,0.00,0.00,0.00,0.00,300.00,0.00,550.01,50.00,0.00,0.00
5.1159,2600.19,0.00,1450.06,200.00,500.01,5500.85,800.02,1050.03,350.00,3250.30,0.00,0.00,3200.29,1500.06,21413.19,150.00,50.00,450.01,1150.04,1250.05,150.00,22264.51,5050.75,50.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,150.00,0.00,4800.70,0.00,0.00,0.00,0.00,550.01,0.00,750.02,100.00,0.00,0.00
6.1379,2400.16,0.00,1450.06,50.00,1550.07,6151.07,500.01,700.01,150.00,3350.32,0.00,0.00,3500.35,1500.06,22164.14,0.00,0.00,300.00,1600.07,350.00,50.00,22364.65,4800.68,0.00,0.00,0.00,0.00,0.00,50.00,50.00,50.00,100.00,150.00,5851.04,0.00,0.00,0.00,100.00,150.00,0.00,1050.04,150.00,0.00,0.00
7.1588,2250.14,0.00,1100.03,100.00,900.02,6651.25,1300.05,800.02,350.00,3900.43,0.00,0.00,2950.25,1350.05,21863.75,0.00,100.00,350.00,1400.06,600.01,300.00,19661.32,4050.48,0.00,0.00,0.00,0.00,0.00,100.00,0.00,150.00,300.00,150.00,5851.04,0.00,0.00,0.00,0.00,500.01,0.00,900.03,150.00,0.00,0.00
8.1797,2100.12,0.00,1200.04,50.00,850.02,5500.85,500.01,700.01,100.00,3300.31,0.00,0.00,3500.35,1950.11,22013.95,50.00,0.00,500.01,850.02,750.02,0.00,23966.82,4350.56,0.00,0.00,0.00,0.00,0.00,100.00,50.00,150.00,350.00,0.00,3600.39,0.00,0.00,0.00,50.00,450.01,0.00,800.02,100.00,0.00,0.00
9.2006,2250.14,0.00,1050.03,300.00,650.01,5850.96,1450.06,1000.03,550.01,3050.27,0.00,50.00,2850.23,1150.04,24066.67,0.00,50.00,600.01,1500.07,550.01,50.00,23265.85,4600.62,50.00,0.00,0.00,0.00,0.00,0.00,100.00,50.00,400.00,0.00,5050.78,0.00,0.00,0.00,0.00,250.00,0.00,750.02,0.00,0.00,0.00
10.2226,2450.17,0.00,1200.04,300.00,700.01,4600.60,1250.04,600.01,50.00,2650.20,150.00,0.00,3500.35,1650.08,22464.52,0.00,200.00,650.01,1000.03,600.01,100.00,23215.78,4200.52,0.00,0.00,0.00,0.00,0.00,50.00,0.00,150.00,400.00,0.00,4850.72,0.00,0.00,0.00,0.00,250.00,0.00,750.02,150.00,0.00,0.00
