C:\Agilent\ICPMH\1\DATA\Steven.Christopher Batch Data\LA Test1-20 TSP Sites Batch12.b\006SMPL.d
Intensity Vs Time,CPS
Acquired      : 2018-08-01 11:38:51 using Batch LA Test1-20 TSP Sites Batch12.b
Time [Sec],Li7 -> 7,Be9 -> 9,B11 -> 11,Mg24 -> 24,Al27 -> 27,Si29 -> 29,P31 -> 31,S34 -> 34,Ca43 -> 43,Ca44 -> 44,Ti47 -> 47,V51 -> 51,Cr52 -> 52,Mn55 -> 55,Fe56 -> 56,Co59 -> 59,Ni60 -> 60,Cu63 -> 63,Zn64 -> 64,Zn66 -> 66,As75 -> 75,Se78 -> 78,Br79 -> 79,Rb85 -> 85,Sr88 -> 88,Zr90 -> 90,Mo95 -> 95,Ru101 -> 101,Rh103 -> 103,Pd105 -> 105,Cd111 -> 111,Sn118 -> 118,Sb121 -> 121,I127 -> 127,Cs133 -> 133,Ba137 -> 137,Ba138 -> 138,Pt195 -> 195,Hg202 -> 202,Tl205 -> 205,Pb208 -> 208,Bi209 -> 209,Th232 -> 232,U238 -> 238
1.0317,2600.19,0.00,2150.13,100.00,700.01,7901.76,1350.05,1750.09,200.00,3550.36,0.00,0.00,4300.53,2050.12,33382.06,0.00,0.00,450.01,1500.07,950.03,150.00,22665.04,4450.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,500.01,200.00,6601.33,0.00,0.00,0.00,0.00,650.01,0.00,1850.11,100.00,0.00,0.00
2.0526,2700.20,0.00,900.02,100.00,1000.03,7201.46,950.03,1250.04,200.00,3450.34,0.00,100.00,4000.46,1250.04,31328.23,100.00,100.00,550.01,1950.11,1000.03,250.00,24217.17,4300.54,0.00,50.00,0.00,0.00,0.00,50.00,0.00,150.00,800.02,0.00,6251.19,0.00,0.00,0.00,50.00,750.02,0.00,1900.12,150.00,0.00,0.00
3.0735,3250.29,0.00,1050.03,200.00,700.01,7151.44,1400.06,1600.07,250.00,3800.41,0.00,0.00,3550.36,1500.06,31829.14,0.00,50.00,700.01,1850.10,600.01,150.00,22715.11,3400.34,50.00,50.00,0.00,0.00,0.00,0.00,0.00,100.00,400.00,100.00,5801.02,0.00,0.00,0.00,0.00,50.00,0.00,1500.07,300.00,0.00,0.00
4.0950,2850.22,0.00,1350.05,300.00,950.03,7201.46,1350.05,1500.06,150.00,3900.43,0.00,0.00,3750.40,1300.05,32229.88,0.00,150.00,300.00,1500.07,700.01,350.00,22314.58,3700.40,100.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,500.01,150.00,5801.02,0.00,0.00,0.00,100.00,550.01,0.00,1950.12,100.00,0.00,0.00
5.1159,2800.22,0.00,1500.06,300.00,550.01,8251.92,700.01,1650.08,450.01,3200.29,50.00,100.00,3700.39,1550.07,31879.24,0.00,0.00,500.01,1150.04,1150.04,300.00,21363.37,3950.46,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,550.01,0.00,6701.37,0.00,0.00,0.00,0.00,800.02,0.00,1650.09,150.00,0.00,0.00
6.1379,2900.23,0.00,1050.03,100.00,450.01,7901.76,1100.03,1250.04,200.00,3500.35,0.00,50.00,3100.28,1650.08,30927.52,0.00,0.00,550.01,1350.05,450.01,300.00,24066.96,4850.69,0.00,0.00,0.00,0.00,0.00,50.00,100.00,0.00,500.01,0.00,5000.76,0.00,0.00,0.00,0.00,250.00,0.00,2350.18,250.00,0.00,0.00
7.1588,2900.23,0.00,1450.06,200.00,700.01,6651.25,950.03,750.02,200.00,4050.47,0.00,0.00,3550.36,1950.11,30076.02,50.00,200.00,450.01,1800.09,1050.03,250.00,23866.68,5250.81,0.00,150.00,0.00,0.00,0.00,0.00,50.00,0.00,500.01,0.00,5450.90,0.00,0.00,59709.19,0.00,650.01,10603.62,4857180.58,3650.43,100.00,1550.08
8.1797,5050.71,0.00,34232.50,383685.85,154871.61,12154.16,7501.59,800.02,550.01,12854.71,0.00,150.00,3650.38,4100.48,283495.20,50.00,50.00,2750.22,1800.09,650.01,400.00,19761.43,8552.14,50.00,1000.03,0.00,100.00,0.00,100.00,0.00,0.00,350.00,0.00,5050.78,0.00,0.00,0.00,0.00,600.01,0.00,4279.51,600.01,0.00,50.00
9.2006,3800.40,0.00,900.02,50.00,950.03,8652.11,1400.06,1700.08,200.00,3600.37,50.00,0.00,3600.37,1900.10,29975.85,150.00,0.00,850.02,950.03,400.00,300.00,20612.44,3600.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,450.01,100.00,5100.79,0.00,0.00,0.00,0.00,650.01,0.00,1700.09,150.00,0.00,0.00
10.2226,2850.22,0.00,1450.06,300.00,1300.05,6701.26,700.01,950.03,200.00,3800.41,0.00,50.00,3450.34,1900.10,30326.46,50.00,0.00,550.01,2050.12,600.01,600.01,22815.24,3800.42,0.00,100.00,0.00,0.00,0.00,0.00,0.00,200.00,400.00,100.00,5751.01,0.00,0.00,0.00,0.00,350.00,0.00,2100.14,50.00,0.00,0.00
