C:\Agilent\ICPMH\1\DATA\Steven.Christopher Batch Data\LA Test1-20 TSP Sites Batch12.b\010SMPL.d
Intensity Vs Time,CPS
Acquired      : 2018-08-01 11:47:21 using Batch LA Test1-20 TSP Sites Batch12.b
Time [Sec],Li7 -> 7,Be9 -> 9,B11 -> 11,Mg24 -> 24,Al27 -> 27,Si29 -> 29,P31 -> 31,S34 -> 34,Ca43 -> 43,Ca44 -> 44,Ti47 -> 47,V51 -> 51,Cr52 -> 52,Mn55 -> 55,Fe56 -> 56,Co59 -> 59,Ni60 -> 60,Cu63 -> 63,Zn64 -> 64,Zn66 -> 66,As75 -> 75,Se78 -> 78,Br79 -> 79,Rb85 -> 85,Sr88 -> 88,Zr90 -> 90,Mo95 -> 95,Ru101 -> 101,Rh103 -> 103,Pd105 -> 105,Cd111 -> 111,Sn118 -> 118,Sb121 -> 121,I127 -> 127,Cs133 -> 133,Ba137 -> 137,Ba138 -> 138,Pt195 -> 195,Hg202 -> 202,Tl205 -> 205,Pb208 -> 208,Bi209 -> 209,Th232 -> 232,U238 -> 238
1.0307,2600.19,0.00,850.02,100.00,550.01,4600.60,950.03,650.01,600.01,3450.34,0.00,0.00,2900.24,1750.09,29424.91,50.00,0.00,800.02,1550.07,450.01,250.00,25018.32,4500.59,100.00,0.00,0.00,0.00,0.00,50.00,50.00,150.00,300.00,0.00,4850.72,0.00,0.00,0.00,0.00,450.01,0.00,1100.04,0.00,0.00,0.00
2.0516,2400.16,0.00,950.03,150.00,450.01,6651.25,1000.03,1300.05,400.00,3150.28,0.00,100.00,3950.45,1350.05,26520.23,0.00,0.00,500.01,600.01,550.01,400.00,23466.12,4150.51,50.00,900.02,0.00,0.00,0.00,0.00,0.00,100.00,300.00,0.00,5600.95,0.00,0.00,0.00,50.00,200.00,0.00,700.02,100.00,0.00,0.00
3.0725,2350.15,0.00,1050.03,150.00,1050.03,7201.46,1050.03,750.02,100.00,2800.22,100.00,0.00,4300.53,1500.06,28072.67,50.00,50.00,500.01,900.02,650.01,250.00,19761.43,3350.33,0.00,100.00,0.00,0.00,0.00,50.00,0.00,50.00,600.01,200.00,5150.81,0.00,0.00,0.00,0.00,600.01,0.00,1400.06,200.00,0.00,0.00
4.0950,2950.24,0.00,1350.05,100.00,600.01,6551.21,1000.03,500.01,600.01,2900.24,100.00,0.00,3100.28,1800.09,25618.88,100.00,0.00,350.00,1050.03,700.01,150.00,23165.71,4550.61,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,500.01,100.00,4450.60,0.00,0.00,0.00,0.00,700.02,0.00,1300.05,50.00,0.00,0.00
5.1159,3050.26,0.00,850.02,100.00,1200.04,6451.17,1100.03,1500.06,300.00,2850.23,0.00,0.00,3450.34,1800.09,26770.62,0.00,250.00,200.00,1650.08,550.01,100.00,23916.75,4250.53,50.00,0.00,0.00,0.00,0.00,0.00,0.00,150.00,500.01,50.00,6701.37,0.00,0.00,0.00,100.00,350.00,0.00,1000.03,100.00,0.00,0.00
6.1368,2650.19,0.00,850.02,0.00,450.01,6101.05,1550.07,1450.06,250.00,2850.23,50.00,0.00,3300.31,1550.07,26269.86,0.00,200.00,650.01,1000.03,750.02,250.00,22965.44,3700.40,0.00,50.00,0.00,0.00,0.00,50.00,0.00,0.00,400.00,0.00,5250.84,0.00,0.00,2000.12,0.00,300.00,0.00,1900.12,50.00,0.00,0.00
7.1578,2350.15,0.00,1500.06,8602.07,1200.04,8652.11,600.01,1900.10,400.00,2200.14,0.00,0.00,3150.29,2100.13,29224.57,0.00,0.00,250.00,1500.07,600.01,550.01,24016.89,3600.38,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,450.01,100.00,5150.81,50.00,0.00,0.00,0.00,550.01,0.00,1300.05,50.00,0.00,0.00
8.1797,2400.16,0.00,1000.03,50.00,950.03,6301.12,1300.05,700.01,450.01,3400.33,0.00,100.00,4200.51,1700.08,30126.11,0.00,150.00,950.03,850.02,800.02,200.00,24617.74,3400.34,50.00,50.00,0.00,0.00,0.00,0.00,0.00,150.00,250.00,250.00,5300.85,50.00,0.00,0.00,0.00,450.01,0.00,950.03,50.00,0.00,0.00
9.2006,2900.23,0.00,850.02,150.00,850.02,6251.10,850.02,1000.03,250.00,3500.35,0.00,50.00,4300.53,1300.05,28072.67,50.00,50.00,350.00,1000.03,350.00,200.00,22089.26,4000.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,600.01,0.00,5400.89,0.00,0.00,0.00,0.00,350.00,0.00,900.03,150.00,0.00,0.00
10.2216,1850.09,0.00,850.02,50.00,1500.06,6751.28,900.02,1100.03,200.00,2950.25,0.00,0.00,3300.31,1750.09,26620.38,0.00,0.00,250.00,700.01,900.02,250.00,23416.05,4350.56,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,350.00,0.00,5250.84,100.00,0.00,0.00,100.00,350.00,0.00,900.03,150.00,0.00,0.00
