C:\Agilent\ICPMH\1\DATA\Steven.Christopher Batch Data\LA Test1-20 TSP Sites Batch12.b\020SMPL.d
Intensity Vs Time,CPS
Acquired      : 2018-08-01 12:08:25 using Batch LA Test1-20 TSP Sites Batch12.b
Time [Sec],Li7 -> 7,Be9 -> 9,B11 -> 11,Mg24 -> 24,Al27 -> 27,Si29 -> 29,P31 -> 31,S34 -> 34,Ca43 -> 43,Ca44 -> 44,Ti47 -> 47,V51 -> 51,Cr52 -> 52,Mn55 -> 55,Fe56 -> 56,Co59 -> 59,Ni60 -> 60,Cu63 -> 63,Zn64 -> 64,Zn66 -> 66,As75 -> 75,Se78 -> 78,Br79 -> 79,Rb85 -> 85,Sr88 -> 88,Zr90 -> 90,Mo95 -> 95,Ru101 -> 101,Rh103 -> 103,Pd105 -> 105,Cd111 -> 111,Sn118 -> 118,Sb121 -> 121,I127 -> 127,Cs133 -> 133,Ba137 -> 137,Ba138 -> 138,Pt195 -> 195,Hg202 -> 202,Tl205 -> 205,Pb208 -> 208,Bi209 -> 209,Th232 -> 232,U238 -> 238
1.0307,6301.10,0.00,61504.81,498525.74,26319.47,8952.26,7601.63,3600.37,8502.06,86512.90,24467.10,1550.07,9152.40,6001.04,361677.43,200.00,100.00,1250.05,3100.28,750.02,50.00,20362.14,6951.42,0.00,23466.25,250.00,50.00,0.00,0.00,0.00,50.00,650.01,100.00,4850.72,0.00,0.00,300.00,0.00,400.01,0.00,12455.01,400.01,0.00,300.00
2.0526,1900.10,0.00,1650.08,50.00,13905.43,8652.11,3750.40,5200.77,450.01,2550.19,0.00,0.00,3750.40,2200.14,40898.11,100.00,0.00,200.00,3150.29,550.01,100.00,20011.73,5650.94,0.00,0.00,0.00,0.00,0.00,100.00,0.00,150.00,150.00,300.00,5650.97,0.00,0.00,0.00,0.00,150.00,0.00,600.01,50.00,0.00,0.00
3.0735,1450.06,0.00,1600.07,100.00,550.01,8502.04,1100.03,1450.06,250.00,2550.19,0.00,0.00,3700.39,1850.10,38592.84,0.00,50.00,200.00,1650.08,750.02,0.00,20211.96,5750.97,0.00,0.00,0.00,0.00,0.00,50.00,0.00,50.00,550.01,300.00,5650.97,0.00,0.00,0.00,0.00,500.01,0.00,500.01,100.00,0.00,0.00
4.0950,2400.16,0.00,1800.09,100.00,750.02,7951.78,1250.04,1350.05,250.00,1650.08,0.00,50.00,3700.39,1200.04,42351.58,0.00,0.00,250.00,1700.08,400.00,400.00,22264.51,7601.69,7151.51,1800.10,100.00,500.01,0.00,0.00,0.00,0.00,900.02,200.00,4950.75,0.00,1250.05,2300.16,0.00,450.01,150.00,18811.42,0.00,0.00,0.00
5.1159,2200.13,0.00,1700.08,57392.26,750.02,21513.03,1400.06,1450.06,450.01,3350.32,500.01,50.00,4450.57,1600.07,59451.59,0.00,0.00,500.01,1300.05,850.02,0.00,19761.43,5050.75,0.00,100.00,0.00,0.00,0.00,0.00,0.00,50.00,350.00,150.00,4650.66,0.00,0.00,0.00,100.00,400.01,0.00,750.02,100.00,0.00,0.00
6.1379,2350.15,0.00,1300.05,50.00,300.00,6151.07,1000.03,1150.04,250.00,2950.25,0.00,0.00,4150.49,1600.07,40547.28,0.00,0.00,350.00,650.01,400.00,250.00,20061.78,6151.11,0.00,50.00,0.00,0.00,0.00,0.00,0.00,300.00,150.00,0.00,4600.64,0.00,0.00,0.00,0.00,300.00,0.00,1000.03,50.00,0.00,0.00
7.1588,1750.08,0.00,1500.06,0.00,950.03,8652.11,1600.07,1150.04,50.00,2450.17,0.00,50.00,3250.30,2200.14,42201.21,0.00,100.00,200.00,1550.07,650.01,150.00,23416.05,5200.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,400.00,50.00,6351.23,0.00,0.00,0.00,50.00,200.00,0.00,600.01,150.00,0.00,0.00
8.1797,3400.32,0.00,1900.10,50.00,800.02,8802.18,1400.06,1150.04,450.01,2250.14,0.00,0.00,3650.38,2950.25,42151.10,0.00,0.00,300.00,800.02,600.01,150.00,18660.20,5650.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,700.01,0.00,4650.66,0.00,0.00,0.00,0.00,400.01,0.00,600.01,0.00,0.00,0.00
9.2006,2500.17,0.00,1600.07,300.00,700.01,6551.21,1700.08,1500.06,150.00,2100.13,1100.03,11103.54,3300.31,1950.11,1673818.01,0.00,0.00,400.00,1550.07,18509.94,150.00,21213.17,5650.94,0.00,250.00,0.00,0.00,0.00,0.00,100.00,0.00,1400.06,100.00,5851.04,0.00,50.00,5901.07,100.00,700.02,0.00,1915994.18,50.00,0.00,0.00
10.2226,2700.20,0.00,1100.03,50.00,850.02,6501.19,3750.40,1400.06,100.00,2250.14,0.00,0.00,3950.45,4850.68,33304.41,0.00,150.00,600.01,1250.05,650.01,50.00,19160.75,5901.02,0.00,0.00,0.00,50.00,0.00,0.00,0.00,100.00,200.00,100.00,5250.84,0.00,0.00,0.00,0.00,800.02,0.00,4115.57,100.00,0.00,0.00
