C:\Agilent\ICPMH\1\DATA\Steven.Christopher Batch Data\LA Test1-20 TSP Sites Batch12.b\014SMPL.d
Intensity Vs Time,CPS
Acquired      : 2018-08-01 11:55:45 using Batch LA Test1-20 TSP Sites Batch12.b
Time [Sec],Li7 -> 7,Be9 -> 9,B11 -> 11,Mg24 -> 24,Al27 -> 27,Si29 -> 29,P31 -> 31,S34 -> 34,Ca43 -> 43,Ca44 -> 44,Ti47 -> 47,V51 -> 51,Cr52 -> 52,Mn55 -> 55,Fe56 -> 56,Co59 -> 59,Ni60 -> 60,Cu63 -> 63,Zn64 -> 64,Zn66 -> 66,As75 -> 75,Se78 -> 78,Br79 -> 79,Rb85 -> 85,Sr88 -> 88,Zr90 -> 90,Mo95 -> 95,Ru101 -> 101,Rh103 -> 103,Pd105 -> 105,Cd111 -> 111,Sn118 -> 118,Sb121 -> 121,I127 -> 127,Cs133 -> 133,Ba137 -> 137,Ba138 -> 138,Pt195 -> 195,Hg202 -> 202,Tl205 -> 205,Pb208 -> 208,Bi209 -> 209,Th232 -> 232,U238 -> 238
1.0317,2950.24,0.00,1150.04,0.00,1200.04,7151.44,1150.04,1200.04,350.00,2850.23,0.00,50.00,3800.42,1600.07,28022.59,0.00,200.00,850.02,1200.04,850.02,300.00,20312.08,5000.73,100.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,500.01,50.00,5100.79,50.00,0.00,0.00,0.00,450.01,0.00,600.01,100.00,0.00,0.00
2.0526,3650.37,0.00,1150.04,350.00,1100.03,5850.96,1100.03,800.02,300.00,3450.34,0.00,0.00,4100.48,1300.05,24767.65,50.00,50.00,300.00,1200.04,1000.03,100.00,25068.40,2950.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,250.00,0.00,4650.66,0.00,0.00,0.00,50.00,150.00,0.00,550.01,150.00,0.00,0.00
3.0735,3000.25,0.00,1000.03,150.00,550.01,5700.92,650.01,700.01,550.01,3050.27,700.01,0.00,4050.47,2100.13,27922.43,0.00,100.00,350.00,1550.07,700.01,150.00,22114.32,4250.53,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,150.00,100.00,5450.90,0.00,0.00,0.00,100.00,200.00,0.00,1300.05,100.00,0.00,0.00
4.0950,2200.13,0.00,1450.06,250.00,1100.03,4750.64,1150.04,1000.03,300.00,2950.25,0.00,150.00,3300.31,1750.09,24317.01,0.00,0.00,450.01,1350.05,450.01,100.00,21263.24,5050.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150.00,0.00,5350.87,0.00,0.00,0.00,0.00,450.01,0.00,700.02,50.00,0.00,0.00
5.1159,2850.22,0.00,800.02,150.00,650.01,6151.07,650.01,750.02,250.00,3000.26,0.00,50.00,2350.16,1650.08,23866.39,50.00,100.00,500.01,1750.09,1150.04,0.00,21864.00,4300.54,50.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,600.01,0.00,4500.62,0.00,0.00,0.00,0.00,200.00,0.00,1300.05,150.00,0.00,0.00
6.1379,3800.40,0.00,850.02,300.00,900.02,7751.69,600.01,800.02,250.00,3450.34,100.00,0.00,2450.17,1550.07,22965.17,50.00,0.00,350.00,1350.05,500.01,50.00,21713.80,5750.97,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,300.00,0.00,4750.69,0.00,0.00,0.00,0.00,150.00,0.00,750.02,50.00,0.00,0.00
7.1588,2850.22,0.00,950.03,0.00,800.02,6251.10,950.03,750.02,300.00,3150.28,0.00,0.00,3100.28,1600.07,27171.24,0.00,150.00,150.00,800.02,1300.05,200.00,22414.71,4100.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,4650.66,0.00,0.00,0.00,0.00,450.01,0.00,1300.05,0.00,0.00,0.00
8.1797,2400.16,0.00,1150.04,100.00,550.01,5700.92,600.01,400.00,200.00,3350.32,0.00,0.00,2500.18,1400.06,24016.59,50.00,150.00,450.01,1000.03,1050.03,0.00,21563.62,4350.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,50.00,4650.66,0.00,0.00,0.00,0.00,200.00,0.00,700.02,200.00,0.00,0.00
9.2006,2100.12,0.00,850.02,50.00,650.01,4850.66,800.02,450.01,150.00,3500.35,0.00,50.00,3550.36,1500.06,24917.87,0.00,100.00,400.00,1300.05,550.01,200.00,20612.44,4800.68,50.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,450.01,100.00,4300.56,0.00,0.00,0.00,0.00,400.01,0.00,950.03,50.00,0.00,0.00
10.2226,2800.22,0.00,1000.03,200.00,850.02,5750.93,1650.08,900.02,300.00,3500.35,0.00,0.00,2600.19,1100.03,23766.25,0.00,0.00,400.00,500.01,250.00,100.00,22114.32,4750.66,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,250.00,0.00,4200.54,100.00,0.00,0.00,0.00,150.00,0.00,650.01,150.00,0.00,0.00
