C:\Agilent\ICPMH\1\DATA\Steven.Christopher Batch Data\LA Test1-20 TSP Sites Batch12.b\005SMPL.d
Intensity Vs Time,CPS
Acquired      : 2018-08-01 11:36:45 using Batch LA Test1-20 TSP Sites Batch12.b
Time [Sec],Li7 -> 7,Be9 -> 9,B11 -> 11,Mg24 -> 24,Al27 -> 27,Si29 -> 29,P31 -> 31,S34 -> 34,Ca43 -> 43,Ca44 -> 44,Ti47 -> 47,V51 -> 51,Cr52 -> 52,Mn55 -> 55,Fe56 -> 56,Co59 -> 59,Ni60 -> 60,Cu63 -> 63,Zn64 -> 64,Zn66 -> 66,As75 -> 75,Se78 -> 78,Br79 -> 79,Rb85 -> 85,Sr88 -> 88,Zr90 -> 90,Mo95 -> 95,Ru101 -> 101,Rh103 -> 103,Pd105 -> 105,Cd111 -> 111,Sn118 -> 118,Sb121 -> 121,I127 -> 127,Cs133 -> 133,Ba137 -> 137,Ba138 -> 138,Pt195 -> 195,Hg202 -> 202,Tl205 -> 205,Pb208 -> 208,Bi209 -> 209,Th232 -> 232,U238 -> 238
1.0307,3400.32,0.00,1300.05,250.00,700.01,8251.92,1050.03,1200.04,250.00,4700.63,0.00,100.00,4650.62,2100.13,36388.08,50.00,0.00,350.00,2550.19,1600.07,450.01,21713.80,4850.69,0.00,0.00,0.00,0.00,0.00,100.00,0.00,200.00,250.00,200.00,5901.06,0.00,0.00,0.00,0.00,350.00,0.00,2250.16,200.00,0.00,0.00
2.0526,3450.33,0.00,1350.05,100.00,750.02,7601.63,1100.03,2150.13,150.00,4450.57,0.00,0.00,3300.31,1350.05,38292.17,150.00,100.00,450.01,2050.12,750.02,350.00,21914.06,4550.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,450.01,100.00,6651.35,0.00,0.00,0.00,0.00,750.02,0.00,2350.18,350.00,0.00,0.00
3.0735,2850.22,0.00,1700.08,50.00,1100.03,6501.19,1350.05,1300.05,100.00,4200.50,0.00,0.00,3450.34,1950.11,33432.15,0.00,0.00,200.00,2100.13,1500.07,100.00,22514.84,3950.46,50.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,200.00,50.00,5300.85,0.00,0.00,0.00,0.00,700.02,0.00,2450.19,350.00,0.00,0.00
4.0950,2850.22,0.00,1550.07,200.00,650.01,8151.87,950.03,1800.09,250.00,4050.47,0.00,150.00,2800.23,1200.04,33382.06,100.00,200.00,600.01,1900.10,750.02,100.00,23666.40,3800.42,0.00,0.00,0.00,0.00,0.00,50.00,50.00,150.00,700.01,200.00,5700.99,0.00,0.00,0.00,0.00,500.01,0.00,1500.07,300.00,0.00,0.00
5.1159,34482.86,0.00,1450.06,50.00,850.02,7201.46,1150.04,900.02,400.00,3800.41,0.00,0.00,3550.36,1600.07,35035.31,0.00,50.00,650.01,1700.08,750.02,150.00,21713.80,4550.61,0.00,0.00,0.00,0.00,0.00,50.00,50.00,350.00,550.01,0.00,5951.08,0.00,0.00,0.00,0.00,350.00,0.00,2400.19,750.02,0.00,0.00
6.1379,2850.22,0.00,950.03,0.00,1050.03,9002.28,1100.03,1450.06,450.01,4600.60,100.00,0.00,4950.70,1350.05,34133.51,0.00,50.00,400.00,1800.09,1250.05,350.00,21663.74,4700.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,700.01,50.00,4450.60,0.00,0.00,0.00,0.00,800.02,0.00,1850.11,450.01,0.00,0.00
7.1588,3200.28,0.00,1600.07,150.00,700.01,6551.21,1100.03,1300.05,350.00,4650.62,0.00,100.00,4400.56,2000.11,28924.07,0.00,100.00,850.02,1650.08,1250.05,350.00,22564.91,5300.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,550.01,150.00,6151.15,0.00,0.00,0.00,0.00,750.02,0.00,2100.14,350.00,0.00,0.00
8.1797,2950.24,0.00,1250.04,300.00,450.01,7351.52,1050.03,1350.05,150.00,3950.44,50.00,0.00,4250.52,1550.07,29675.33,50.00,50.00,400.00,2100.13,1200.04,250.00,24667.82,5800.99,50.00,200.00,0.00,0.00,0.00,0.00,0.00,100.00,200.00,200.00,5751.01,0.00,0.00,0.00,0.00,750.02,0.00,1850.11,450.01,0.00,0.00
9.2006,2500.17,0.00,1200.04,100.00,600.01,7451.56,1550.07,1550.07,700.01,3350.32,100.00,0.00,4350.54,1700.08,32831.01,0.00,50.00,350.00,1900.10,1400.06,150.00,24117.03,3950.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,300.00,100.00,6701.37,0.00,0.00,0.00,50.00,800.02,0.00,2650.23,200.00,0.00,0.00
10.2216,2900.23,0.00,350.00,0.00,950.03,6201.08,1400.06,1100.03,300.00,3650.38,0.00,50.00,5100.75,1600.07,33532.34,150.00,0.00,400.00,1500.07,750.02,150.00,22815.24,4500.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,150.00,6301.21,0.00,0.00,0.00,100.00,550.01,0.00,1900.12,150.00,0.00,0.00
11.2435,2600.19,0.00,1150.04,100.00,700.01,7801.71,800.02,1050.03,150.00,3150.28,0.00,350.00,4000.46,1700.08,31278.15,0.00,50.00,850.02,1550.07,500.01,250.00,24317.31,4800.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,250.00,150.00,5700.99,0.00,0.00,0.00,0.00,300.00,0.00,2500.20,300.00,0.00,0.00
12.2650,3200.28,0.00,1050.03,0.00,900.02,6801.30,800.02,1200.04,100.00,3800.41,50.00,0.00,3850.43,1200.04,32229.88,50.00,50.00,350.00,1200.04,800.02,200.00,22414.71,5000.73,0.00,50.00,0.00,0.00,0.00,0.00,0.00,50.00,300.00,200.00,5801.02,0.00,0.00,0.00,0.00,600.01,0.00,2300.17,150.00,0.00,0.00
13.2859,2950.24,0.00,2100.12,0.00,950.03,7451.56,1200.04,1750.09,150.00,4250.52,0.00,0.00,2100.13,1000.03,33081.48,0.00,50.00,650.01,1450.06,650.01,100.00,24667.82,4250.53,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,700.01,100.00,4600.64,0.00,0.00,0.00,0.00,500.01,0.00,1850.11,400.01,0.00,0.00
14.3068,3400.32,0.00,1100.03,150.00,900.02,7501.59,950.03,1100.03,250.00,3600.37,0.00,0.00,3100.28,1900.10,32229.88,50.00,0.00,850.02,750.02,900.02,300.00,24016.89,4600.62,0.00,0.00,0.00,0.00,0.00,0.00,50.00,150.00,350.00,100.00,5100.79,0.00,0.00,100.00,0.00,250.00,0.00,2300.17,400.01,0.00,0.00
15.3288,2550.18,0.00,900.02,0.00,1200.04,7151.44,1200.04,1200.04,350.00,3450.34,0.00,0.00,4400.56,1500.06,33231.77,50.00,100.00,650.01,1550.07,700.01,0.00,24016.89,3950.46,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,650.01,100.00,6301.21,0.00,0.00,0.00,50.00,600.01,0.00,2400.19,100.00,0.00,0.00
16.3497,2850.22,0.00,1150.04,100.00,450.01,7901.76,1300.05,850.02,250.00,3950.44,0.00,100.00,3550.36,1600.07,32079.60,100.00,50.00,450.01,1600.07,700.01,200.00,24767.96,3400.34,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,300.00,50.00,5400.89,0.00,0.00,0.00,0.00,600.01,0.00,1850.11,100.00,0.00,0.00
17.3706,2650.19,0.00,800.02,50.00,850.02,7101.42,1150.04,1150.04,150.00,3750.40,0.00,0.00,4500.58,1700.08,31378.33,0.00,150.00,500.01,650.01,650.01,150.00,23466.12,3450.35,0.00,0.00,0.00,0.00,0.00,50.00,0.00,100.00,400.00,0.00,6851.43,0.00,0.00,0.00,100.00,300.00,0.00,2250.16,300.00,0.00,0.00
18.3916,2700.20,0.00,1550.07,100.00,950.03,8902.23,1100.03,1150.04,300.00,3750.40,0.00,0.00,4650.62,1550.07,31478.51,100.00,0.00,350.00,1450.06,850.02,100.00,22564.91,4550.61,100.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,300.00,150.00,6301.21,0.00,0.00,0.00,0.00,850.02,0.00,2150.15,500.01,0.00,0.00
19.4135,2550.18,0.00,1750.08,150.00,650.01,8802.18,1750.09,850.02,500.01,4350.54,0.00,0.00,4600.61,1900.10,32480.35,0.00,50.00,400.00,1450.06,600.01,300.00,25819.52,4100.49,0.00,100.00,0.00,0.00,0.00,50.00,0.00,0.00,300.00,100.00,7551.74,0.00,0.00,0.00,0.00,200.00,0.00,1800.10,400.01,0.00,0.00
20.4349,3050.26,0.00,1550.07,50.00,900.02,6951.36,700.01,900.02,350.00,3850.42,0.00,0.00,3550.36,1900.10,34985.21,0.00,50.00,550.01,1150.04,750.02,200.00,21663.74,4450.58,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,450.01,50.00,5500.92,0.00,0.00,0.00,0.00,550.01,0.00,2100.14,250.00,0.00,0.00
21.4559,2200.13,0.00,1650.08,50.00,1100.03,6951.36,1350.05,1500.06,200.00,4000.46,150.00,0.00,3500.35,1650.08,33031.39,0.00,50.00,250.00,1700.08,650.01,400.00,22815.24,5050.75,0.00,0.00,0.00,0.00,0.00,1150.04,2050.13,1050.03,145335.57,238612.31,75221.80,11854.29,737142.16,5557326.30,50.00,900.03,3450.38,12975303.42,38297.35,12755.34,5701.07
22.4768,16557.58,50.00,1408682.36,12519616.69,14347483.13,5588500.91,48716.87,361815.14,122224.15,1750798.48,38041.32,28623.47,53833.05,256732.26,8210739.25,2000.12,3650.38,24183075.54,171043.55,121376.05,10153.01,27321.85,12354.47,24517.70,173837.83,114889.09,3100.29,0.00,900.02,500.01,1000.03,28875.18,47117.15,22515.42,3300.33,124221.33,807808.95,50.00,10103.28,650.01,161646.32,9452.89,1950.13,1050.04
23.4988,8451.98,0.00,794093.87,7370525.95,6627240.77,2883288.93,7951.78,94351.13,93548.69,1655514.29,12904.76,7501.61,21613.40,121070.21,2761804.55,1000.03,900.02,7475576.73,85863.09,47164.48,3150.29,25168.54,7951.85,15557.13,99692.64,68488.45,1200.04,0.00,650.01,100.00,400.00,21163.53,28374.37,16107.89,2550.20,62369.04,387349.72,0.00,4800.74,600.01,185757.85,8652.42,900.03,2500.21
24.5197,12104.05,0.00,1039242.11,8465585.35,7837593.14,3286593.04,5800.95,62660.85,70943.10,1171385.57,8702.17,4800.66,22564.60,88223.35,1509764.49,700.01,850.02,9166354.89,94658.92,40497.55,3000.26,22965.44,7101.48,20061.85,86168.71,61260.80,850.02,0.00,100.00,250.00,250.00,18310.12,22014.68,14406.31,1850.10,76328.22,423584.73,0.00,4250.58,600.01,167400.24,11154.02,1200.05,2350.18
25.5406,13304.90,0.00,827311.54,10496090.86,7907254.86,3268723.32,6801.31,68432.20,72399.03,1164633.13,49971.27,4550.59,14105.71,68183.48,1038217.99,900.02,1150.04,7106872.82,67180.52,37440.64,3300.32,22865.31,8302.02,11553.93,86118.46,74312.98,1100.04,0.00,100.00,50.00,200.00,14806.62,16508.25,13805.80,2400.18,64728.21,377216.12,0.00,2850.26,150.00,99065.97,7001.58,1250.05,2750.25
26.5615,8451.98,0.00,785404.46,6764247.81,5871714.97,2288143.22,3950.44,52427.63,57343.53,860141.33,4550.59,3250.30,11603.86,38943.58,1208002.18,600.01,1600.07,6152676.31,49871.96,35135.79,2800.23,21363.37,7801.78,21864.08,118261.56,69743.56,1300.05,0.00,50.00,150.00,200.00,10853.56,14206.11,13205.30,2400.18,56798.75,268646.34,0.00,3150.32,650.01,502577.94,7201.68,850.02,1000.03
27.5830,5800.93,50.00,776688.64,6838104.84,4564815.73,2394630.33,10503.11,54132.75,60704.82,1008490.06,7801.74,3350.32,12354.38,54986.85,1076884.69,600.01,450.01,3634134.46,36037.60,21463.36,3300.32,21062.99,6301.16,9902.89,75769.15,53634.96,450.01,0.00,0.00,50.00,200.00,12204.50,13155.24,12955.10,1950.12,40199.49,336948.01,0.00,3150.32,350.00,676411.98,13605.98,3100.32,6351.33
