C:\Agilent\ICPMH\1\DATA\Steven.Christopher Batch Data\LA Test1-20 TSP Sites Batch12.b\002SMPL.d
Intensity Vs Time,CPS
Acquired      : 2018-08-01 11:30:25 using Batch LA Test1-20 TSP Sites Batch12.b
Time [Sec],Li7 -> 7,Be9 -> 9,B11 -> 11,Mg24 -> 24,Al27 -> 27,Si29 -> 29,P31 -> 31,S34 -> 34,Ca43 -> 43,Ca44 -> 44,Ti47 -> 47,V51 -> 51,Cr52 -> 52,Mn55 -> 55,Fe56 -> 56,Co59 -> 59,Ni60 -> 60,Cu63 -> 63,Zn64 -> 64,Zn66 -> 66,As75 -> 75,Se78 -> 78,Br79 -> 79,Rb85 -> 85,Sr88 -> 88,Zr90 -> 90,Mo95 -> 95,Ru101 -> 101,Rh103 -> 103,Pd105 -> 105,Cd111 -> 111,Sn118 -> 118,Sb121 -> 121,I127 -> 127,Cs133 -> 133,Ba137 -> 137,Ba138 -> 138,Pt195 -> 195,Hg202 -> 202,Tl205 -> 205,Pb208 -> 208,Bi209 -> 209,Th232 -> 232,U238 -> 238
1.0307,3300.30,0.00,4100.47,100.00,800.02,13655.25,4850.66,4800.65,700.01,5400.83,50.00,50.00,5850.98,2100.13,51877.37,0.00,150.00,400.00,7451.61,4750.66,1150.04,26520.59,6501.24,100.00,50.00,0.00,0.00,50.00,2350.17,0.00,200.00,18460.29,1000.03,6951.47,0.00,0.00,0.00,0.00,5100.84,0.00,15607.87,2050.14,0.00,0.00
2.0516,3450.33,0.00,5250.76,50.00,1200.04,12254.23,4750.64,5000.71,3800.41,11703.91,200.00,0.00,5901.00,5000.72,52278.57,0.00,100.00,500.01,8602.14,44256.78,1350.05,26019.82,4800.68,100.00,0.00,0.00,0.00,0.00,200.00,0.00,250.00,950.03,1100.04,7801.85,0.00,50.00,0.00,0.00,4850.76,0.00,13255.67,2700.24,0.00,0.00
3.0735,3750.39,0.00,4350.53,0.00,650.01,14455.88,4000.45,4350.54,1050.03,5951.01,50.00,0.00,6051.05,1750.09,51225.44,0.00,50.00,700.01,7651.70,5650.93,850.02,27972.91,4400.57,0.00,0.00,50.00,0.00,0.00,0.00,50.00,350.00,1100.04,1050.03,8602.25,0.00,0.00,0.00,0.00,3800.46,0.00,14957.22,2800.25,0.00,0.00
4.0950,3450.33,0.00,4300.51,0.00,1150.04,11503.73,3150.28,4500.57,300.00,4850.67,200.00,0.00,6451.19,2400.17,50924.56,0.00,0.00,550.01,8001.85,3250.31,1250.05,26720.91,4750.66,0.00,50.00,0.00,0.00,0.00,0.00,0.00,300.00,900.02,1000.03,8302.10,50.00,0.00,0.00,0.00,3750.45,0.00,13405.80,3400.37,0.00,0.00
5.1159,3000.25,0.00,3700.38,250.00,1050.03,13304.99,3100.27,4950.69,750.02,4700.63,50.00,0.00,5650.92,1700.08,49670.94,0.00,150.00,450.01,7701.72,4550.60,1200.04,28373.57,5150.78,200.00,0.00,0.00,0.00,0.00,0.00,100.00,150.00,850.02,1150.04,7401.67,0.00,0.00,0.00,0.00,3600.42,0.00,11154.02,2900.27,0.00,0.00
6.1368,3650.37,0.00,3950.43,200.00,500.01,12854.66,3600.37,3850.42,850.02,5300.80,0.00,0.00,5500.87,1950.11,51626.62,0.00,0.00,950.03,7601.67,3200.30,1450.06,24968.25,4850.69,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,700.01,1300.05,6401.25,0.00,0.00,400.00,0.00,3350.36,0.00,13906.24,2200.16,0.00,0.00
7.1588,2800.22,0.00,3550.35,0.00,800.02,10102.88,3350.32,4000.45,600.01,5900.99,0.00,0.00,5300.81,3000.26,47916.02,0.00,200.00,450.01,6401.19,5200.78,1800.10,25619.22,4400.57,50.00,0.00,0.00,0.00,0.00,100.00,0.00,200.00,650.01,1050.03,7101.53,0.00,0.00,50.00,0.00,4650.70,0.00,12254.85,2450.19,0.00,0.00
8.1797,2900.23,0.00,3950.43,50.00,1200.04,11053.44,3850.42,2950.25,400.00,6751.30,50.00,50.00,5500.87,1350.05,50021.94,0.00,200.00,750.02,5901.01,3500.36,950.03,26720.91,6101.09,50.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,800.02,1300.05,7051.51,0.00,0.00,0.00,0.00,4250.58,0.00,10953.88,2100.14,0.00,0.00
9.2006,3700.38,0.00,3750.39,150.00,900.02,11403.66,3900.43,3600.37,300.00,5400.83,0.00,0.00,5050.73,2050.12,51927.52,0.00,0.00,400.00,6201.11,3800.42,1300.05,26119.97,6851.38,100.00,0.00,0.00,0.00,0.00,0.00,0.00,350.00,900.02,800.02,7351.65,0.00,0.00,0.00,0.00,4300.59,0.00,12054.69,1650.09,0.00,0.00
10.2216,2550.18,0.00,3250.29,150.00,800.02,12104.13,3200.29,4650.61,550.01,5050.73,50.00,50.00,5951.02,2100.13,49470.37,0.00,50.00,800.02,7251.52,3250.31,800.02,26971.30,5150.78,100.00,50.00,0.00,0.00,0.00,150.00,50.00,200.00,700.01,1450.06,6601.33,0.00,0.00,0.00,0.00,3750.45,0.00,10953.88,2150.15,0.00,0.00
