C:\Agilent\ICPMH\1\DATA\Steven.Christopher Batch Data\LA Test1-20 TSP Sites Batch12.b\011SMPL.d
Intensity Vs Time,CPS
Acquired      : 2018-08-01 11:49:25 using Batch LA Test1-20 TSP Sites Batch12.b
Time [Sec],Li7 -> 7,Be9 -> 9,B11 -> 11,Mg24 -> 24,Al27 -> 27,Si29 -> 29,P31 -> 31,S34 -> 34,Ca43 -> 43,Ca44 -> 44,Ti47 -> 47,V51 -> 51,Cr52 -> 52,Mn55 -> 55,Fe56 -> 56,Co59 -> 59,Ni60 -> 60,Cu63 -> 63,Zn64 -> 64,Zn66 -> 66,As75 -> 75,Se78 -> 78,Br79 -> 79,Rb85 -> 85,Sr88 -> 88,Zr90 -> 90,Mo95 -> 95,Ru101 -> 101,Rh103 -> 103,Pd105 -> 105,Cd111 -> 111,Sn118 -> 118,Sb121 -> 121,I127 -> 127,Cs133 -> 133,Ba137 -> 137,Ba138 -> 138,Pt195 -> 195,Hg202 -> 202,Tl205 -> 205,Pb208 -> 208,Bi209 -> 209,Th232 -> 232,U238 -> 238
1.0307,2450.17,0.00,1050.03,100.00,1350.05,5900.98,1000.03,950.03,100.00,3250.30,100.00,0.00,3350.32,1150.04,29024.23,0.00,50.00,550.01,1300.05,750.02,150.00,24868.11,3700.40,1400.06,100.00,0.00,0.00,0.00,0.00,0.00,150.00,450.01,0.00,4950.75,0.00,0.00,0.00,0.00,750.02,0.00,850.02,200.00,0.00,0.00
2.0516,2800.22,0.00,1600.07,150.00,850.02,6701.26,550.01,1650.08,150.00,4450.57,0.00,0.00,3150.29,1600.07,26670.46,0.00,150.00,500.01,1300.05,1050.03,100.00,24717.89,4350.56,0.00,18660.28,50.00,0.00,0.00,0.00,0.00,100.00,550.01,0.00,5951.08,0.00,0.00,0.00,0.00,450.01,0.00,1200.05,100.00,0.00,0.00
3.0725,1800.09,0.00,800.02,50.00,150837.12,50020.38,800.02,1100.03,400.00,4050.47,0.00,0.00,4400.56,1650.08,1561625.72,0.00,0.00,650.01,1150.04,900.02,50.00,20862.75,3800.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150.00,450.01,0.00,5250.84,0.00,0.00,0.00,0.00,950.03,0.00,700.02,0.00,0.00,0.00
4.0950,2050.12,0.00,1050.03,50.00,300.00,6301.12,1200.04,750.02,300.00,3350.32,50.00,0.00,3250.30,1700.08,22387.37,0.00,0.00,400.00,1600.07,650.01,0.00,21062.99,4200.52,100.00,0.00,0.00,0.00,50.00,0.00,0.00,150.00,250.00,0.00,5500.92,0.00,0.00,0.00,0.00,250.00,0.00,950.03,50.00,0.00,0.00
5.1159,2250.14,0.00,700.01,200.00,650.01,5350.81,800.02,1250.04,50.00,3100.27,0.00,50.00,3600.37,1400.06,26269.86,0.00,50.00,350.00,1500.07,450.01,250.00,23365.99,2750.22,50.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,600.01,50.00,5550.94,0.00,0.00,0.00,0.00,550.01,0.00,900.03,50.00,0.00,0.00
6.1368,2050.12,0.00,1050.03,100.00,700.01,6601.23,950.03,500.01,400.00,3500.35,0.00,0.00,3350.32,2100.13,27371.56,0.00,100.00,350.00,1250.05,1350.05,0.00,20812.69,3100.28,50.00,0.00,0.00,0.00,0.00,0.00,0.00,300.00,150.00,0.00,5350.87,0.00,50.00,0.00,0.00,300.00,0.00,1550.08,150.00,0.00,0.00
7.1578,2200.13,0.00,1150.04,0.00,900.02,6301.12,750.02,1100.03,0.00,2450.17,0.00,50.00,2950.25,1950.11,27221.32,50.00,0.00,900.02,1400.06,350.00,100.00,20262.02,3450.35,50.00,250.00,0.00,0.00,0.00,100.00,50.00,50.00,150.00,150.00,5801.02,0.00,0.00,0.00,0.00,100.00,0.00,1050.04,200.00,0.00,0.00
8.1797,2800.22,0.00,1550.07,100.00,700.01,5400.82,1400.06,1250.04,300.00,3000.26,0.00,0.00,3350.32,2100.13,27822.27,0.00,0.00,350.00,1150.04,1000.03,200.00,23165.71,3450.35,0.00,200.00,0.00,0.00,0.00,50.00,50.00,150.00,100.00,50.00,5050.78,0.00,0.00,0.00,100.00,200.00,0.00,950.03,150.00,0.00,0.00
9.2006,2400.16,0.00,1200.04,100.00,200.00,5450.84,1000.03,1050.03,250.00,3550.36,0.00,50.00,4000.46,1250.04,28673.65,0.00,100.00,550.01,750.02,450.01,150.00,21513.55,3550.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150.00,400.00,0.00,4400.59,0.00,0.00,0.00,0.00,400.01,0.00,500.01,100.00,0.00,0.00
10.2216,2300.15,0.00,700.01,200.00,600.01,6551.21,550.01,1150.04,150.00,2900.24,0.00,100.00,3250.30,2050.12,30276.37,100.00,200.00,800.02,750.02,750.02,200.00,22364.65,3250.31,100.00,0.00,0.00,0.00,0.00,0.00,0.00,150.00,400.00,300.00,5650.97,0.00,0.00,0.00,0.00,650.01,0.00,1500.07,0.00,0.00,0.00
11.2425,2450.17,0.00,1100.03,100.00,1300.05,5550.87,1000.03,1500.06,100.00,3750.40,0.00,150.00,2900.24,1850.10,25068.08,0.00,50.00,550.01,750.02,700.01,200.00,23215.78,3050.27,0.00,0.00,0.00,0.00,0.00,50.00,0.00,100.00,250.00,0.00,4350.58,0.00,0.00,0.00,0.00,800.02,0.00,700.02,200.00,0.00,0.00
12.2650,1900.10,0.00,1100.03,300.00,1200.04,5500.85,750.02,700.01,300.00,3400.33,0.00,0.00,4250.52,1000.03,24617.44,0.00,100.00,400.00,1050.03,950.03,300.00,21313.30,3150.29,50.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,550.01,50.00,4550.63,0.00,0.00,0.00,0.00,350.00,0.00,1100.04,50.00,0.00,0.00
13.2859,1550.07,0.00,800.02,350.00,800.02,6301.12,1100.03,800.02,400.00,3550.36,0.00,0.00,3000.26,1600.07,24817.72,0.00,0.00,600.01,1000.03,600.01,150.00,23165.71,4100.49,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,250.00,50.00,5801.02,0.00,0.00,0.00,0.00,600.01,0.00,850.02,150.00,0.00,0.00
14.3068,2950.24,0.00,1150.04,50.00,650.01,6301.12,1100.03,1050.03,300.00,3500.35,0.00,50.00,3600.37,1500.06,24116.74,0.00,100.00,300.00,950.03,850.02,50.00,20612.44,3750.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,300.00,0.00,6351.23,0.00,0.00,0.00,0.00,250.00,0.00,1000.03,150.00,0.00,0.00
