C:\Agilent\ICPMH\1\DATA\Steven.Christopher Batch Data\1FEB21610CAL.b\001SMPL.d
Intensity Vs Time,CPS
Acquired      : 2021-02-01 14:40:17 using Batch 1FEB21610CAL.b
Time [Sec],Li7 -> 7,Mg24 -> 24,Mg25 -> 25,Ca43 -> 43,Ca44 -> 44,Sc45 -> 45,Mn55 -> 55,Fe57 -> 57,Co59 -> 59,Cu63 -> 63,Cu65 -> 65,Zn66 -> 66,Rb85 -> 85,Sr86 -> 86,Sr87 -> 87,Sr88 -> 88,Y89 -> 89,Cd111 -> 111,Cd114 -> 114,Sb121 -> 121,Sb123 -> 123,Ba137 -> 137,Ba138 -> 138,Tl205 -> 205,Pb206 -> 206,Pb207 -> 207,Pb208 -> 208,Th232 -> 232,U238 -> 238
2.9896,0.00,20.00,0.00,10.00,560.01,80.00,190.00,650.01,40.00,880.02,190.00,290.00,30.00,1020.03,0.00,40.00,0.00,0.00,110.00,20.00,20.00,0.00,30.00,0.00,40.00,0.00,50.00,0.00,0.00
5.9689,0.00,40.00,0.00,0.00,630.01,30.00,250.00,450.01,0.00,980.03,330.00,240.00,0.00,1170.04,40.00,40.00,0.00,0.00,120.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,40.00,0.00,0.00
8.9487,0.00,50.00,0.00,30.00,780.02,30.00,190.00,500.01,10.00,630.01,460.01,170.00,30.00,1150.04,0.00,40.00,0.00,0.00,190.00,0.00,40.00,0.00,30.00,20.00,0.00,30.00,40.00,0.00,0.00
11.9276,0.00,30.00,20.00,0.00,560.01,60.00,290.00,410.00,10.00,770.02,410.00,120.00,30.00,1010.03,10.00,10.00,0.00,0.00,150.00,0.00,60.00,10.00,0.00,0.00,0.00,20.00,40.00,0.00,0.00
14.9079,0.00,40.00,0.00,0.00,680.01,50.00,280.00,470.01,40.00,660.01,310.00,180.00,20.00,950.03,10.00,10.00,0.00,0.00,100.00,20.00,0.00,0.00,50.00,0.00,10.00,0.00,50.00,0.00,0.00
17.8867,0.00,30.00,0.00,0.00,610.01,70.00,290.00,380.00,20.00,810.02,400.00,200.00,40.00,1070.03,30.00,0.00,0.00,0.00,60.00,0.00,0.00,10.00,10.00,0.00,30.00,20.00,20.00,0.00,0.00


          Printed:2021-02-01 14:40:37
