C:\Agilent\ICPMH\1\DATA\Steven.Christopher Batch Data\1FEB21SC2423.b\001SMPL.d
Intensity Vs Time,CPS
Acquired      : 2021-02-01 16:24:59 using Batch 1FEB21SC2423.b
Time [Sec],Li7 -> 7,Mg24 -> 24,Mg25 -> 25,Ca43 -> 43,Ca44 -> 44,Sc45 -> 45,Mn55 -> 55,Fe57 -> 57,Co59 -> 59,Cu63 -> 63,Cu65 -> 65,Zn66 -> 66,Rb85 -> 85,Sr86 -> 86,Sr87 -> 87,Sr88 -> 88,Y89 -> 89,Cd111 -> 111,Cd114 -> 114,Sb121 -> 121,Sb123 -> 123,Ba137 -> 137,Ba138 -> 138,Tl205 -> 205,Pb206 -> 206,Pb207 -> 207,Pb208 -> 208,Th232 -> 232,U238 -> 238
2.9896,0.00,20.00,0.00,0.00,680.01,60.00,420.00,570.01,20.00,2310.15,1270.05,89645.98,60.00,1200.04,30.00,0.00,0.00,0.00,30.00,0.00,50.00,0.00,40.00,100.00,28705.87,25460.37,62593.04,0.00,0.00
5.9689,0.00,30.00,0.00,10.00,640.01,40.00,220.00,640.01,10.00,2280.15,1080.03,95777.90,10.00,1220.04,30.00,30.00,10.00,0.00,20.00,30.00,30.00,0.00,30.00,60.00,24178.35,22495.90,58949.14,0.00,0.00
8.9487,0.00,30.00,0.00,0.00,880.02,10.00,270.00,660.01,20.00,2200.14,1010.03,95596.92,50.00,1360.05,60.00,10.00,0.00,0.00,20.00,40.00,0.00,0.00,30.00,60.00,27223.26,25440.33,60013.11,0.00,0.00
11.9276,0.00,50.00,10.00,20.00,740.02,50.00,310.00,850.02,40.00,2060.12,1170.04,91585.86,30.00,1090.03,20.00,40.00,0.00,20.00,60.00,10.00,0.00,20.00,60.00,90.00,26131.44,23096.76,55878.08,0.00,0.00
14.9079,0.00,110.00,0.00,20.00,660.01,50.00,250.00,620.01,50.00,2060.12,1270.05,86570.76,60.00,1470.06,0.00,30.00,0.00,0.00,20.00,50.00,30.00,0.00,10.00,180.00,25690.72,23537.41,59651.76,0.00,0.00
17.8867,0.00,20.00,0.00,0.00,670.01,100.00,450.01,530.01,10.00,2250.14,1010.03,93807.41,30.00,1080.03,10.00,50.00,0.00,0.00,50.00,30.00,0.00,10.00,30.00,110.00,25840.96,22415.79,52185.55,0.00,0.00
20.8666,0.00,20.00,0.00,0.00,860.02,30.00,340.00,680.01,30.00,2010.11,1080.03,91615.99,30.00,1370.05,0.00,50.00,0.00,0.00,60.00,0.00,10.00,0.00,40.00,60.00,26181.52,23707.66,59290.41,0.00,0.00
23.8459,0.00,30.00,0.00,20.00,1020.03,50.00,9632.59,1670.08,80.00,77809.87,37058.64,177968.40,11813.99,833605.30,578540.93,6866769.27,90.00,0.00,140.00,80.00,90.00,11513.95,78865.23,210.00,27333.45,23317.08,57222.85,0.00,590.01
26.8257,20.00,4648181.49,679852.96,1298591.86,24062934.64,280.00,375293.82,27080.51,510.01,116550.75,25047.66,223418.30,20151.62,1679597.94,1270605.61,15338391.02,80.00,0.00,200.00,110.00,40.00,16568.18,103136.57,200.00,25179.90,23176.88,56510.31,0.00,110.00
29.8045,80.00,5384666.17,823688.11,1597677.01,27941204.58,180.00,410667.88,31728.14,500.01,49538.91,26569.87,241867.95,20471.99,1872317.78,1349149.35,16227096.01,130.00,20.00,230.00,160.00,110.00,15747.39,94163.95,270.00,23627.53,21504.53,56640.77,0.00,80.00
