C:\Agilent\ICPMH\1\DATA\Steven.Christopher Batch Data\1FEB21SC2416.b\001SMPL.d
Intensity Vs Time,CPS
Acquired      : 2021-02-01 15:14:07 using Batch 1FEB21SC2416.b
Time [Sec],Li7 -> 7,Mg24 -> 24,Mg25 -> 25,Ca43 -> 43,Ca44 -> 44,Sc45 -> 45,Mn55 -> 55,Fe57 -> 57,Co59 -> 59,Cu63 -> 63,Cu65 -> 65,Zn66 -> 66,Rb85 -> 85,Sr86 -> 86,Sr87 -> 87,Sr88 -> 88,Y89 -> 89,Cd111 -> 111,Cd114 -> 114,Sb121 -> 121,Sb123 -> 123,Ba137 -> 137,Ba138 -> 138,Tl205 -> 205,Pb206 -> 206,Pb207 -> 207,Pb208 -> 208,Th232 -> 232,U238 -> 238
2.9885,0.00,20.00,10.00,0.00,730.01,50.00,270.00,700.01,50.00,670.01,310.00,160.00,40.00,1080.03,20.00,30.00,0.00,0.00,80.00,10.00,0.00,0.00,80.00,10.00,0.00,30.00,40.00,0.00,0.00
5.9689,0.00,20.00,0.00,0.00,690.01,40.00,230.00,690.01,10.00,810.02,300.00,260.00,20.00,1330.05,10.00,30.00,0.00,0.00,20.00,10.00,0.00,40.00,10.00,0.00,70.00,80.00,120.00,0.00,0.00
8.9477,0.00,40.00,0.00,0.00,490.01,130.00,280.00,590.01,40.00,440.01,220.00,170.00,30.00,1080.03,20.00,0.00,0.00,0.00,30.00,0.00,0.00,10.00,60.00,0.00,30.00,70.00,160.00,0.00,0.00
11.9276,0.00,60.00,0.00,0.00,560.01,50.00,340.00,640.01,20.00,870.02,230.00,240.00,20.00,1180.04,0.00,30.00,0.00,0.00,100.00,10.00,0.00,0.00,50.00,0.00,70.00,50.00,130.00,0.00,0.00
14.9069,0.00,20.00,0.00,0.00,740.02,50.00,270.00,690.01,20.00,710.01,490.01,140.00,60.00,1320.05,0.00,20.00,0.00,0.00,60.00,20.00,0.00,0.00,50.00,0.00,20.00,0.00,30.00,0.00,0.00
17.8867,0.00,20.00,0.00,0.00,550.01,140.00,210.00,720.01,30.00,780.02,440.01,870.02,20.00,1180.04,0.00,0.00,0.00,0.00,80.00,10.00,0.00,10.00,50.00,0.00,30.00,10.00,70.00,0.00,0.00
20.8655,0.00,10.00,0.00,0.00,630.01,110.00,200.00,640.01,0.00,670.01,390.00,230.00,60.00,1230.04,0.00,0.00,10.00,0.00,40.00,0.00,0.00,10.00,20.00,0.00,20.00,20.00,10.00,0.00,0.00
23.8459,0.00,20.00,0.00,20.00,11593.72,20.00,3060.26,1370.05,120.00,36717.88,15436.71,61315.80,14786.26,715274.21,535931.28,6657734.28,20.00,0.00,160.00,20.00,100.00,14155.98,124228.99,80.00,890.02,490.01,2660.22,0.00,60.00
26.8247,30.00,3457427.45,513288.74,993183.66,16146863.51,150.00,161111.88,16427.55,390.00,12814.62,12914.70,73140.49,18970.30,1202104.20,926549.67,11395899.83,80.00,30.00,170.00,60.00,10.00,18279.96,116322.53,90.00,620.01,700.02,1800.10,10.00,210.00
29.8045,30.00,5257128.05,811325.22,1444486.54,26870467.10,230.00,237860.13,28913.37,570.01,20531.85,10092.87,105633.62,25338.37,1559917.63,1172989.36,14699412.28,100.00,0.00,90.00,30.00,20.00,18299.98,119514.87,50.00,870.02,780.02,1290.05,0.00,150.00
