C:\Agilent\ICPMH\1\DATA\Steven.Christopher Batch Data\1FEB21SC2436.b\001SMPL.d
Intensity Vs Time,CPS
Acquired      : 2021-02-01 15:46:21 using Batch 1FEB21SC2436.b
Time [Sec],Li7 -> 7,Mg24 -> 24,Mg25 -> 25,Ca43 -> 43,Ca44 -> 44,Sc45 -> 45,Mn55 -> 55,Fe57 -> 57,Co59 -> 59,Cu63 -> 63,Cu65 -> 65,Zn66 -> 66,Rb85 -> 85,Sr86 -> 86,Sr87 -> 87,Sr88 -> 88,Y89 -> 89,Cd111 -> 111,Cd114 -> 114,Sb121 -> 121,Sb123 -> 123,Ba137 -> 137,Ba138 -> 138,Tl205 -> 205,Pb206 -> 206,Pb207 -> 207,Pb208 -> 208,Th232 -> 232,U238 -> 238
2.9896,0.00,40.00,0.00,0.00,700.01,90.00,170.00,820.02,10.00,790.02,290.00,150.00,20.00,970.03,0.00,0.00,0.00,0.00,20.00,0.00,20.00,20.00,40.00,0.00,10.00,60.00,50.00,0.00,0.00
5.9689,0.00,30.00,30.00,0.00,950.03,100.00,310.00,620.01,10.00,810.02,230.00,180.00,30.00,1380.05,10.00,20.00,0.00,0.00,50.00,0.00,10.00,30.00,50.00,0.00,10.00,40.00,60.00,0.00,0.00
8.9487,0.00,70.00,0.00,20.00,550.01,70.00,350.00,720.01,50.00,630.01,370.00,120.00,20.00,1180.04,20.00,20.00,0.00,0.00,30.00,10.00,20.00,0.00,40.00,0.00,30.00,20.00,50.00,0.00,0.00
11.9276,0.00,90.00,0.00,10.00,810.02,30.00,270.00,700.01,10.00,750.02,370.00,170.00,50.00,1240.04,0.00,20.00,0.00,0.00,50.00,20.00,0.00,0.00,20.00,0.00,10.00,50.00,110.00,0.00,0.00
14.9079,0.00,20.00,0.00,20.00,660.01,40.00,440.01,730.01,10.00,550.01,390.00,190.00,30.00,1210.04,0.00,30.00,0.00,0.00,100.00,10.00,0.00,0.00,20.00,0.00,80.00,60.00,30.00,0.00,0.00
17.8867,0.00,30.00,0.00,20.00,670.01,70.00,390.00,380.00,30.00,730.02,300.00,170.00,80.00,1170.04,0.00,0.00,0.00,0.00,100.00,20.00,10.00,10.00,20.00,0.00,50.00,30.00,20.00,0.00,0.00
20.8666,0.00,40.00,0.00,0.00,540.01,60.00,420.00,780.02,0.00,830.02,330.00,100.00,0.00,1390.06,10.00,0.00,0.00,0.00,10.00,40.00,0.00,0.00,30.00,0.00,40.00,20.00,30.00,0.00,0.00
23.8459,0.00,10.00,0.00,0.00,560.01,60.00,720.01,940.02,120.00,33180.93,27331.02,66464.30,18099.37,653449.05,503711.83,6409361.15,20.00,20.00,2070.13,120.00,50.00,8232.02,52401.84,30.00,610.01,460.01,1170.04,0.00,80.00
26.8257,10.00,3627200.57,561262.96,1188463.50,19921374.70,120.00,357056.36,22504.16,760.02,90178.09,42250.22,115746.44,26670.35,1299894.51,905232.56,11046771.09,50.00,0.00,400.00,70.00,100.00,10613.36,65849.18,220.00,440.01,370.00,910.03,0.00,50.00
29.8045,60.00,4420076.18,673712.72,1365061.07,24788747.13,190.00,422396.13,25898.76,550.01,73632.14,36727.96,152200.22,32900.96,1593313.73,1162105.69,14069343.54,70.00,10.00,310.00,60.00,50.00,11523.96,74937.26,110.00,440.01,510.01,1070.04,0.00,40.00
