C:\Agilent\ICPMH\1\DATA\Steven.Christopher Batch Data\1FEB21612CALEND.b\001SMPL.d
Intensity Vs Time,CPS
Acquired      : 2021-02-01 16:40:34 using Batch 1FEB21612CALEND.b
Time [Sec],Li7 -> 7,Mg24 -> 24,Mg25 -> 25,Ca43 -> 43,Ca44 -> 44,Sc45 -> 45,Mn55 -> 55,Fe57 -> 57,Co59 -> 59,Cu63 -> 63,Cu65 -> 65,Zn66 -> 66,Rb85 -> 85,Sr86 -> 86,Sr87 -> 87,Sr88 -> 88,Y89 -> 89,Cd111 -> 111,Cd114 -> 114,Sb121 -> 121,Sb123 -> 123,Ba137 -> 137,Ba138 -> 138,Tl205 -> 205,Pb206 -> 206,Pb207 -> 207,Pb208 -> 208,Th232 -> 232,U238 -> 238
2.9885,0.00,70.00,10.00,0.00,720.01,80.00,430.01,580.01,10.00,1680.08,1080.03,80482.18,80.00,1440.06,0.00,40.00,10.00,0.00,30.00,0.00,30.00,0.00,50.00,70.00,23617.51,22545.97,52085.23,20.00,0.00
5.9689,0.00,30.00,10.00,0.00,700.01,100.00,290.00,630.01,20.00,2040.12,910.02,75299.50,30.00,1570.07,20.00,80.00,0.00,0.00,100.00,0.00,20.00,0.00,10.00,90.00,23437.25,21464.48,49135.85,0.00,0.00
8.9477,0.00,20.00,20.00,0.00,740.02,100.00,270.00,600.01,40.00,2150.13,950.03,79146.19,30.00,1060.03,20.00,20.00,0.00,0.00,50.00,0.00,0.00,0.00,70.00,80.00,23006.56,22836.39,52486.54,0.00,0.00
11.9276,0.00,40.00,0.00,0.00,760.02,70.00,200.00,550.01,20.00,1930.10,740.02,75219.16,0.00,1210.04,0.00,50.00,0.00,0.00,60.00,10.00,0.00,0.00,40.00,90.00,22565.99,19772.28,49697.59,0.00,0.00
14.9069,0.00,50.00,20.00,10.00,630.01,70.00,290.00,490.01,10.00,1980.11,1010.03,74104.48,20.00,1490.06,20.00,50.00,20.00,0.00,40.00,30.00,10.00,0.00,40.00,50.00,23327.08,20242.88,50570.35,0.00,0.00
17.8867,0.00,70.00,10.00,0.00,700.01,80.00,380.00,600.01,30.00,1970.11,1030.03,73612.44,50.00,1420.06,0.00,30.00,0.00,0.00,50.00,20.00,0.00,20.00,90.00,90.00,23337.10,22255.56,50169.08,0.00,0.00
20.8655,0.00,90.00,20.00,0.00,610.01,40.00,320.00,630.01,20.00,1710.08,1190.04,79367.17,80.00,1210.04,10.00,20.00,0.00,0.00,50.00,10.00,0.00,50.00,30.00,60.00,23387.17,19341.76,49517.04,0.00,0.00
23.8459,0.00,50.00,10.00,20.00,560.01,110.00,15236.48,8381.97,129659.49,121262.10,71242.67,114196.43,185499.92,53501.89,75693.94,288549.74,165381.81,16077.55,42402.61,102377.84,88560.82,42744.43,296613.26,89038.22,105689.82,106022.28,265194.66,309537.91,375346.67
26.8247,1090.03,43150.62,5600.85,188891.72,3100904.64,117712.63,208922.32,11673.81,296869.78,173825.54,89635.74,117860.30,207131.01,77722.69,134456.39,644026.83,445549.37,37380.80,96321.05,204939.86,158558.32,77147.12,506689.60,169972.28,187154.10,180033.42,429764.25,546074.29,618512.69
29.8045,1980.11,58693.62,7491.53,290668.22,4678474.93,174964.06,307092.09,16877.97,425136.20,273609.06,130084.90,127637.60,262548.71,89307.94,179761.85,804431.39,583269.84,47205.04,114724.31,238838.69,187390.39,91187.35,591596.24,212660.52,207777.65,187863.20,434418.24,559010.19,658641.47
32.7839,2180.13,57911.15,8622.03,303313.43,4960673.99,182053.61,295519.72,17258.33,438565.50,272715.54,133359.06,145272.50,282343.86,96606.66,192152.95,847030.69,580861.28,42532.81,115016.27,225376.52,165776.93,84241.14,568341.48,193731.27,201436.91,183027.30,440615.42,560460.81,648769.05
35.7637,1920.10,56256.01,7911.70,301046.01,4960327.11,178993.24,299311.97,16918.00,438596.24,272847.52,123276.57,125764.30,271229.86,89941.17,175529.06,803269.60,537521.98,43695.74,109953.05,224616.52,180061.58,87075.58,579245.62,197972.97,218094.37,200708.73,494104.72,600259.83,699405.15
38.7425,1870.09,58673.56,8521.98,295648.00,5039957.42,185912.67,313786.75,17488.55,452609.84,264624.61,129953.94,123699.87,264203.36,92313.51,183096.29,764680.14,535800.15,41851.13,109168.06,225984.49,169968.12,79357.41,525712.65,186354.02,193762.50,175725.62,424136.05,537018.23,621831.20
41.7229,1580.07,57008.33,6961.32,280022.12,4355716.19,163961.44,286941.85,16167.31,396456.99,242299.78,119349.88,130045.01,253831.21,84956.30,160041.08,718734.99,495698.00,41009.10,101742.37,213595.62,160910.34,81507.69,522999.68,187932.40,192213.92,178324.31,429805.35,549863.90,654230.97
44.7017,1670.07,57790.77,8191.83,306425.25,4836223.68,178064.12,304050.84,16978.06,426661.99,248899.98,120507.65,120799.96,254338.51,88604.36,169590.72,777133.43,534697.02,41610.55,106048.47,218598.71,178828.61,88683.98,583282.14,216380.09,211192.18,196071.42,471863.78,574372.88,664325.85
47.6815,2030.11,56296.14,7711.62,306760.91,4693750.56,175610.27,306797.12,16277.41,443279.88,263325.58,127093.34,132110.18,257930.64,91660.09,178387.85,778816.00,546412.49,42161.89,110144.30,227393.10,177737.22,86844.38,548320.42,194763.75,203006.70,185778.94,480208.16,607876.05,730057.10
50.6609,2350.15,67001.98,7971.73,325290.64,5321383.05,196443.36,326602.92,18009.07,447503.35,276066.64,135585.85,130709.85,279336.07,97823.41,188190.06,821815.07,566943.62,45600.70,108775.56,234367.05,177615.97,86633.29,562054.60,202317.05,213269.63,189209.02,471420.89,579984.76,679720.30
