C:\Agilent\ICPMH\1\DATA\Steven.Christopher Batch Data\1FEB21SC2402.b\001SMPL.d
Intensity Vs Time,CPS
Acquired      : 2021-02-01 16:08:12 using Batch 1FEB21SC2402.b
Time [Sec],Li7 -> 7,Mg24 -> 24,Mg25 -> 25,Ca43 -> 43,Ca44 -> 44,Sc45 -> 45,Mn55 -> 55,Fe57 -> 57,Co59 -> 59,Cu63 -> 63,Cu65 -> 65,Zn66 -> 66,Rb85 -> 85,Sr86 -> 86,Sr87 -> 87,Sr88 -> 88,Y89 -> 89,Cd111 -> 111,Cd114 -> 114,Sb121 -> 121,Sb123 -> 123,Ba137 -> 137,Ba138 -> 138,Tl205 -> 205,Pb206 -> 206,Pb207 -> 207,Pb208 -> 208,Th232 -> 232,U238 -> 238
2.9885,10.00,20.00,0.00,0.00,730.01,40.00,530.01,640.01,30.00,2970.25,1250.04,121786.69,90.00,1130.04,20.00,40.00,0.00,0.00,40.00,40.00,0.00,0.00,40.00,170.00,35449.44,30038.34,72836.55,0.00,0.00
5.9689,0.00,40.00,0.00,0.00,460.01,90.00,440.01,580.01,30.00,2210.14,1250.04,107414.27,10.00,1440.06,0.00,20.00,0.00,0.00,70.00,0.00,10.00,0.00,20.00,70.00,33685.61,31481.13,72374.46,0.00,0.00
8.9477,0.00,50.00,0.00,30.00,710.01,140.00,260.00,630.01,50.00,2690.20,1350.05,116370.50,10.00,1400.06,0.00,10.00,0.00,0.00,40.00,0.00,10.00,40.00,10.00,100.00,34647.68,31641.45,76332.90,0.00,0.00
11.9276,0.00,30.00,20.00,0.00,510.01,10.00,420.00,610.01,60.00,2710.21,1110.03,110915.73,40.00,1370.05,0.00,20.00,0.00,20.00,80.00,20.00,0.00,20.00,0.00,40.00,34717.83,31671.51,76805.18,0.00,0.00
14.9069,0.00,100.00,20.00,0.00,670.01,90.00,330.00,640.01,30.00,2830.23,1430.06,113733.47,0.00,1350.05,30.00,40.00,0.00,0.00,40.00,20.00,0.00,0.00,10.00,70.00,35249.00,30519.26,78171.81,0.00,0.00
17.8867,0.00,50.00,20.00,0.00,730.01,20.00,430.01,590.01,40.00,3200.29,1240.04,141764.28,0.00,1450.06,20.00,30.00,0.00,20.00,100.00,70.00,30.00,0.00,10.00,160.00,44823.04,38466.47,96079.60,0.00,0.00
20.8655,0.00,60.00,0.00,0.00,800.02,50.00,230.00,640.01,20.00,3130.28,1560.07,145000.26,70.00,1390.06,20.00,0.00,0.00,0.00,20.00,10.00,10.00,0.00,50.00,160.00,44562.30,37494.15,95073.57,0.00,0.00
23.8459,0.00,40.00,0.00,0.00,2460.17,30.00,1600.07,1390.05,380.00,118423.05,59840.70,226861.58,18880.20,537192.77,429044.25,5238579.61,40.00,20.00,190.00,70.00,20.00,6431.23,53936.70,250.00,43399.10,38656.93,92669.43,0.00,80.00
26.8247,10.00,4314207.44,649741.16,1255216.39,21738494.68,180.00,954732.41,28933.41,770.02,60783.71,26199.32,278560.39,37239.66,1309127.87,915624.67,11415078.58,70.00,60.00,190.00,120.00,70.00,8702.26,59365.02,320.00,41875.02,36411.64,90728.28,0.00,70.00
29.8045,0.00,4769300.87,725720.22,1421490.92,25728217.12,210.00,1007468.58,28572.82,1040.03,40876.93,20712.08,271299.12,34303.65,1498084.67,1111490.53,13740542.30,30.00,80.00,270.00,70.00,40.00,10083.03,67294.92,350.00,43840.30,39378.70,93755.78,0.00,70.00
32.7839,10.00,6005227.41,877183.42,1684064.04,28851409.57,220.00,1358178.10,34964.18,950.03,53921.64,48837.08,297341.58,38522.44,1776238.88,1280125.45,15008959.78,30.00,0.00,140.00,90.00,50.00,8662.24,56635.59,220.00,39689.43,37844.98,90939.49,0.00,150.00
35.7637,20.00,5832681.16,879909.36,1665406.85,30436467.05,190.00,1396858.73,38792.06,1030.03,75851.43,26449.69,307797.69,37780.82,1862400.28,1391414.51,16484431.00,70.00,20.00,240.00,150.00,80.00,8542.18,52592.45,300.00,40361.12,35659.94,85579.84,0.00,250.00
38.7425,0.00,6203529.91,951354.52,1741452.16,31594334.53,230.00,1703958.26,40756.43,1320.05,78713.85,37269.08,336746.64,40887.80,1953913.88,1373310.29,16943518.50,110.00,10.00,740.02,60.00,40.00,9072.45,48871.19,300.00,40561.63,35399.36,89833.21,10.00,250.00
41.7229,50.00,7081309.89,1042384.44,1940343.88,34232294.49,230.00,1841093.88,42520.53,1010.03,71644.04,27841.82,342984.41,42351.28,1997259.97,1415805.45,17352145.99,170.00,40.00,330.00,790.02,120.00,5881.03,39456.42,460.01,42436.51,38767.20,89561.69,0.00,190.00
44.7017,30.00,6732249.90,1040206.00,1942666.06,33913699.49,280.00,1958307.31,38521.48,800.02,58696.72,21072.50,318107.20,35415.87,1759242.79,1307821.86,15794298.51,80.00,20.00,270.00,30.00,50.00,4780.68,29055.18,240.00,38827.31,34727.88,82976.09,0.00,150.00
47.6815,30.00,6154392.41,946166.47,1749475.44,31088677.04,150.00,1908473.41,35996.22,740.02,41458.28,24747.24,357149.92,36297.68,1763998.88,1286263.57,15444674.77,40.00,10.00,280.00,100.00,70.00,3960.47,24137.38,300.00,40631.81,34838.12,83539.02,0.00,150.00
